频道名称组,频道简称,频道名称,分组,索引号
CCTV1|CCTV-1|CCTV1综合|CCTV-1综合|CCTV综合|CCTV-综合,CCTV1,CCTV-1综合,央视,1000100
CCTV2|CCTV-2|CCTV2财经|CCTV-2财经|CCTV财经|CCTV-财经,CCTV2,CCTV-2财经,央视,1000200
CCTV3|CCTV-3|CCTV3综艺|CCTV-3综艺|CCTV综艺|CCTV-综艺,CCTV3,CCTV-3综艺,央视,1000300
CCTV4|CCTV-4|CCTV4中文国际|CCTV-4中文国际|CCTV中文国际|CCTV-中文国际,CCTV4,CCTV-4中文国际,央视,1000400
CCTV4欧洲|CCTV-4欧洲|CCTV4欧洲|CCTV-4中文国际欧洲|CCTV中文国际欧洲|CCTV-中文国际欧洲|CCTV4中文国际欧洲,CCTV4欧洲,CCTV-4中文国际欧洲,央视,1000401
CCTV4美洲|CCTV-4美洲|CCTV4美洲|CCTV-4中文国际美洲|CCTV中文国际美洲|CCTV-中文国际美洲|CCTV4中文国际美洲,CCTV4美洲,CCTV-4中文国际美洲,央视,1000402
CCTV5|CCTV-5|CCTV5体育|CCTV-5体育|CCTV体育|CCTV-体育,CCTV5,CCTV-5体育,央视,1000500
CCTV5+|CCTV-5+|CCTV5+体育赛事|CCTV-5+体育赛事|CCTV5P|CCTV-体育赛事,CCTV5+,CCTV-5+体育赛事,央视,1000501
CCTV6|CCTV-6|CCTV6电影|CCTV-6电影|CCTV电影|CCTV-电影,CCTV6,CCTV-6电影,央视,1000600
CCTV7|CCTV-7|CCTV7国防军事|CCTV-7国防军事|CCTV国防军事|CCTV-国防军事,CCTV7,CCTV-7国防军事,央视,1000700
CCTV8|CCTV-8|CCTV8电视剧|CCTV-8电视剧|CCTV电视剧|CCTV-电视剧,CCTV8,CCTV-8电视剧,央视,1000800
CCTV9|CCTV-9|CCTV9纪录|CCTV-9纪录|CCTV纪录|CCTV-纪录,CCTV9,CCTV-9纪录,央视,1000900
CCTV10|CCTV-10|CCTV10科教|CCTV-10科教|CCTV科教|CCTV-科教,CCTV10,CCTV-10科教,央视,1001000
