简称,索引码
北京,6110000
东城,6110101
西城,6110102
朝阳,6110105
丰台,6110106
石景山,6110107
海淀,6110108
门头沟,6110109
房山,6110111
通州,6110112
顺义,6110113
昌平,6110114
大兴,6110115
怀柔,6110116
平谷,6110117
密云,6110118
延庆,6110119
天津,6120000
和平,6120101
河东,6120102
河西,6120103
南开,6120104
河北,6120105
红桥,6120106
东丽,6120110
西青,6120111
津南,6120112
北辰,6120113
武清,6120114
宝坻,6120115
滨海新,6120116
宁河,6120117
静海,6120118
蓟州,6120119
河北,6130000
石家庄,6130100
唐山,6130200
秦皇岛,6130300
邯郸,6130400
邢台,6130500
保定,6130600
张家口,6130700
承德,6130800
沧州,6130900
廊坊,6131000
衡水,6131100
山西,6140000
太原,6140100
大同,6140200
阳泉,6140300
长治,6140400
晋城,6140500
朔州,6140600
晋中,6140700
运城,6140800
忻州,6140900
临汾,6141000
吕梁,6141100
内蒙古,6150000
呼和浩特,6150100
包头,6150200
乌海,6150300
赤峰,6150400
通辽,6150500
鄂尔多斯,6150600
呼伦贝尔,6150700
巴彦淖尔,6150800
乌兰察布,6150900
兴安,6152200
锡林郭勒,6152500
阿拉善,6152900
辽宁,6210000
沈阳,6210100
大连,6210200
鞍山,6210300
抚顺,6210400
本溪,6210500
丹东,6210600
锦州,6210700
营口,6210800
阜新,6210900
辽阳,6211000
盘锦,6211100
铁岭,6211200
朝阳,6211300
葫芦岛,6211400
吉林,6220000
长春,6220100
吉林,6220200
四平,6220300
辽源,6220400
通化,6220500
白山,6220600
松原,6220700
白城,6220800
延边,6222400
黑龙江,6230000
哈尔滨,6230100
齐齐哈尔,6230200
鸡西,6230300
鹤岗,6230400
双鸭山,6230500
大庆,6230600
伊春,6230700
佳木斯,6230800
七台河,6230900
牡丹江,6231000
黑河,6231100
绥化,6231200
大兴安岭,6232700
上海,6310000
黄浦,6310101
徐汇,6310104
长宁,6310105
静安,6310106
普陀,6310107
虹口,6310109
杨浦,6310110
闵行,6310112
宝山,6310113
嘉定,6310114
浦东新,6310115
金山,6310116
松江,6310117
青浦,6310118
奉贤,6310120
崇明,6310151
江苏,6320000
南京,6320100
高淳,6320101
无锡,6320200
江阴,6320201
宜兴,6320202
徐州,6320300
新沂,6320301
邳州,6320302
丰县,6320303
沛县,6320304
睢宁,6320305
贾汪,6320306
铜山,6320307
常州,6320400
溧阳,6320401
金坛,6320402
苏州,6320500
昆山,6320501
太仓,6320502
常熟,6320503
张家港,6320504
南通,6320600
启东,6320601
如皋,6320602
海安,6320603
如东,6320604
连云港,6320700
东海,6320701
灌云,6320702
灌南,6320703
赣榆,6320704
淮安,6320800
涟水,6320801
盱眙,6320802
金湖,6320803
淮阴,6320804
洪泽,6320805
盐城,6320900
东台,6320901
响水,6320902
滨海,6320903
阜宁,6320904
射阳,6320905
建湖,6320906
扬州,6321000
仪征,6321001
高邮,6321002
宝应,6321003
镇江,6321100
丹阳,6321101
扬中,6321102
句容,6321103
泰州,6321200
兴化,6321201
靖江,6321202
泰兴,6321203
宿迁,6321300
沭阳,6321301
泗阳,6321302
泗洪,6321303
宿豫,6321304
浙江,6330000
杭州,6330100
宁波,6330200
温州,6330300
嘉兴,6330400
湖州,6330500
绍兴,6330600
金华,6330700
衢州,6330800
舟山,6330900
台州,6331000
丽水,6331100
安徽,6340000
合肥,6340100
芜湖,6340200
蚌埠,6340300
淮南,6340400
马鞍山,6340500
淮北,6340600
铜陵,6340700
安庆,6340800
黄山,6341000
滁州,6341100
阜阳,6341200
宿州,6341300
六安,6341500
亳州,6341600
池州,6341700
宣城,6341800
