# 20260826_1650_precise_history
# 服务器地址	状态	测试有效次数	测试无效次数
106.59.2.72:55555	有效	1	557
60.160.233.36:4022	无效	0	558
60.160.233.184:4080	无效	0	558
106.57.0.1:55555	无效	0	558
106.57.1.1:55555	无效	0	558
106.59.2.113:55555	无效	0	558
106.59.2.116:55555	无效	0	558
106.59.2.119:55555	无效	0	558
106.59.2.136:55555	无效	0	558
106.59.2.140:55555	无效	0	558
106.59.2.14:55555	无效	0	558
106.59.2.17:55555	无效	0	558
106.59.2.183:55555	无效	0	558
106.59.2.184:55555	无效	0	558
106.59.2.187:55555	无效	0	558
106.59.2.193:55555	无效	0	558
106.59.2.1:55555	无效	0	558
106.59.2.214:55555	无效	0	558
106.59.2.216:55555	无效	0	558
106.59.2.218:55555	无效	0	558
106.59.2.227:55555	无效	0	558
106.59.2.232:55555	无效	0	558
106.59.2.236:55555	无效	0	558
106.59.2.241:55555	无效	0	558
106.59.2.255:55555	无效	0	558
106.59.2.49:55555	无效	0	558
106.59.2.54:55555	无效	0	558
106.59.2.73:55555	无效	0	558
106.59.2.80:55555	无效	0	558
106.59.2.90:55555	无效	0	558
106.59.2.96:55555	有效	45	513
106.59.3.122:55555	无效	0	558
106.59.3.12:55555	无效	0	558
106.59.3.138:55555	无效	0	558
106.59.3.173:55555	无效	0	558
106.59.3.180:55555	无效	0	558
106.59.3.18:55555	无效	0	558
106.59.3.190:55555	无效	0	558
106.59.3.197:55555	无效	0	558
106.59.3.1:55555	无效	0	558
106.59.3.203:55555	无效	0	558
106.59.3.233:55555	无效	0	558
106.59.3.246:55555	无效	0	558
106.59.3.2:55555	无效	0	558
106.59.3.66:55555	无效	0	558
106.59.3.79:55555	无效	0	558
106.59.3.88:55555	无效	0	558
116.248.100.160:7777	无效	0	558
116.248.100.57:7777	无效	0	558
116.248.100.90:7777	无效	0	558
116.248.101.138:7777	无效	0	558
116.248.101.216:7777	无效	0	558
116.248.102.159:7777	无效	0	558
116.248.102.220:7777	无效	0	558
116.248.102.30:7777	无效	0	558
116.248.102.85:7777	无效	0	558
116.248.103.237:7777	无效	0	558
116.52.194.243:88	无效	0	558
116.52.25.64:5060	无效	0	558
116.54.75.123:88	无效	0	558
116.55.177.76:4000	无效	0	558
218.63.137.254:5060	无效	0	558
42.243.29.155:5060	无效	0	558
42.243.99.144:5060	无效	0	558
42.243.99.19:5060	无效	0	558
42.243.99.229:5060	无效	0	558
42.243.99.250:5060	无效	0	558
60.161.188.111:5555	无效	0	558
60.161.189.218:5555	无效	0	558
﻿# 2026/05/20 10:28	无效	0	558
106.57.0.246:55555	有效	4	494
106.59.3.238:55555	有效	14	448
106.59.3.73:55555	有效	7	455
106.57.0.213:55555	有效	24	399
106.59.2.85:55555	有效	109	314
106.59.2.32:55555	有效	76	313
106.57.0.86:55555	有效	40	230
106.59.3.171:55555	有效	102	168
106.59.3.231:55555	有效	91	138
106.57.0.17:55555	有效	40	66
106.57.0.80:55555	有效	40	66
106.59.2.152:55555	有效	21	1
106.57.0.160:55555	有效	20	2
