# 20260703_1333_precise_history
# 服务器地址	状态	测试有效次数	测试无效次数
111.127.156.3:51234	有效	66	173
103.36.220.49:8845	无效	0	239
111.127.156.1:51234	无效	0	239
111.127.156.214:51234	无效	0	239
111.127.156.64:51234	无效	0	239
111.127.157.123:51234	无效	0	239
111.127.157.178:51234	无效	0	239
111.127.157.187:51234	无效	0	239
111.127.157.1:51234	无效	0	239
111.127.158.1:51234	无效	0	239
116.117.105.112:4022	无效	0	239
116.117.107.90:4022	无效	0	239
121.56.186.21:4022	无效	0	239
121.57.224.162:8088	无效	0	239
121.57.224.1:8088	无效	0	239
121.57.224.57:8088	无效	0	239
121.57.225.133:8088	无效	0	239
121.57.225.1:8088	无效	0	239
121.57.225.212:8088	无效	0	239
121.57.225.254:8088	无效	0	239
121.57.226.1:8088	无效	0	239
121.57.227.1:8088	无效	0	239
121.57.228.1:8088	无效	0	239
121.57.228.27:8088	无效	0	239
121.57.228.96:8088	无效	0	239
121.57.229.1:8088	无效	0	239
121.57.230.1:8088	无效	0	239
121.57.231.1:8088	无效	0	239
123.179.111.197:8188	无效	0	239
123.179.111.1:8188	无效	0	239
123.179.111.88:8188	无效	0	239
123.179.60.1:4022	无效	0	239
123.179.60.34:4022	无效	0	239
123.179.61.112:4022	无效	0	239
123.179.61.116:4022	无效	0	239
123.179.61.146:4022	无效	0	239
123.179.61.179:4022	无效	0	239
123.179.61.1:4022	无效	0	239
123.179.61.46:4022	无效	0	239
123.179.62.104:4022	无效	0	239
123.179.62.191:4022	无效	0	239
123.179.62.1:4022	无效	0	239
123.179.63.1:4022	无效	0	239
123.179.63.248:4022	无效	0	239
123.179.63.80:4022	无效	0	239
123.179.62.237:4022	有效	22	157
123.179.63.39:4022	有效	26	117
123.179.60.23:4022	有效	5	99
