# 自动生成于 2026/05/20 21:32
# 城市: 四川电信
# 质量阈值: 5
# 配置数量: 20
# 格式: 网关IP:端口,选项
# 选项说明: 0/10=固定C段, 2/12=C段范围

171.213.214.1:4022,10
171.213.141.1:8188,10
171.88.107.1:8118,10
171.213.222.1:4022,10
171.213.137.1:8188,10
171.213.145.1:8188,10
118.113.145.1:7788,10
171.213.152.1:8188,10
182.135.66.1:18888,10
171.213.221.1:4022,10
182.136.166.1:8188,10
182.135.66.1:1888,10
182.140.110.1:5050,10
171.213.211.1:5555,10
171.95.189.1:8188,10
171.213.144.1:8188,12
171.213.204.1:8818,12
171.213.208.1:4022,12
171.213.143.1:1880,12
171.213.148.1:1880,12
