# 20260531_2057_precise_history
# 服务器地址	状态	测试有效次数	测试无效次数
182.140.110.94:5050	有效	48	17
182.136.166.86:8188	有效	8	57
182.135.66.163:18888	有效	65	0
182.135.66.163:1888	有效	65	0
171.88.107.244:8118	有效	65	0
171.95.189.13:8188	有效	65	0
wan1.tangwudi.cc:47859	有效	61	4
118.113.145.11:7788	有效	2	63
171.213.145.116:8188	有效	23	42
171.213.211.30:5555	有效	1	64
171.213.137.136:8188	有效	5	60
171.213.152.180:8188	有效	12	53
171.213.145.42:8188	有效	5	60
171.213.214.138:4022	有效	1	64
171.213.222.68:4022	有效	1	64
171.213.221.124:4022	有效	1	64
171.213.233.1:5555	无效	0	65
171.95.8.13:8000	无效	0	65
182.141.50.85:8001	无效	0	65
182.148.55.88:9000	无效	0	65
220.167.116.7:8888	无效	0	65
171.213.144.155:4022	无效	0	65
125.67.190.113:8100	无效	0	65
182.135.66.163:1889	无效	0	65
171.213.142.161:4022	无效	0	65
100.64.118.97:8060	无效	0	65
hhska.3322.org:8096	有效	48	17
110.184.145.7:888	无效	0	65
110.185.202.120:8086	无效	0	65
110.185.240.165:888	无效	0	65
110.189.44.145:8888	无效	0	65
110.189.44.176:8888	无效	0	65
110.73.209.19:8888	无效	0	65
118.112.61.58:6066	无效	0	65
118.112.61.64:888	无效	0	65
118.112.88.134:4022	无效	0	65
118.113.13.83:8118	无效	0	65
118.113.133.31:8888	无效	0	65
118.113.145.163:7788	无效	0	65
118.114.33.253:4022	无效	0	65
118.114.33.63:4022	无效	0	65
118.114.88.221:8086	无效	0	65
118.114.98.114:4022	无效	0	65
118.116.13.181:4022	无效	0	65
118.117.18.177:8688	无效	0	65
118.118.243.48:8989	无效	0	65
118.120.109.28:9090	无效	0	65
118.120.180.131:9000	无效	0	65
118.120.180.52:4022	无效	0	65
118.120.182.120:9000	无效	0	65
118.120.228.178:4022	无效	0	65
118.120.233.73:9000	无效	0	65
118.120.236.67:4000	无效	0	65
118.120.236.76:4000	无效	0	65
118.121.190.181:4022	无效	0	65
118.121.190.245:4022	无效	0	65
118.122.34.143:8888	无效	0	65
118.143.33.53:4022	无效	0	65
119.4.192.67:9067	无效	0	65
119.4.248.135:4022	无效	0	65
119.4.35.146:4022	无效	0	65
119.4.35.187:4022	无效	0	65
119.4.35.44:4022	无效	0	65
119.4.55.139:8848	无效	0	65
119.4.55.35:8848	无效	0	65
119.4.67.178:8888	无效	0	65
119.6.178.152:8000	无效	0	65
119.7.35.79:4022	无效	0	65
125.65.20.217:4000	无效	0	65
125.66.144.101:8848	无效	0	65
125.66.27.13:8888	无效	0	65
125.66.28.162:8888	无效	0	65
125.66.30.103:8888	无效	0	65
125.66.30.242:8888	无效	0	65
125.66.56.145:4000	无效	0	65
125.66.95.128:8888	无效	0	65
125.66.95.15:8888	无效	0	65
125.66.95.52:8888	无效	0	65
125.67.91.224:8888	无效	0	65
125.67.91.31:8888	无效	0	65
125.68.176.9:1688	无效	0	65
125.70.163.161:9999	无效	0	65
125.70.180.68:8123	无效	0	65
125.70.243.145:8000	无效	0	65
125.70.81.225:6066	无效	0	65
125.71.164.1:6868	无效	0	65
125.71.212.207:8000	无效	0	65
125.71.44.218:8118	无效	0	65
129.28.80.90:88	无效	0	65
139.200.67.71:8888	无效	0	65
139.200.75.21:8688	无效	0	65
139.200.87.100:2122	无效	0	65
139.200.87.100:2123	无效	0	65
139.200.87.83:2122	无效	0	65
139.200.87.83:2123	无效	0	65
139.200.88.156:2123	无效	0	65
139.200.88.162:8888	无效	0	65
139.205.240.13:6868	无效	0	65
139.205.240.222:6868	无效	0	65
171.211.10.207:9000	无效	0	65
171.211.10.94:9000	无效	0	65
171.211.33.230:4022	无效	0	65
171.212.234.121:17777	无效	0	65
171.212.234.126:17777	无效	0	65
171.213.114.10:8888	无效	0	65
171.213.128.196:4022	无效	0	65
171.213.128.1:1880	无效	0	65
171.213.128.244:9999	无效	0	65
171.213.129.1:1880	无效	0	65
171.213.129.53:4022	无效	0	65
171.213.129.93:4022	无效	0	65
171.213.130.106:9100	无效	0	65
171.213.130.195:8188	无效	0	65
171.213.130.1:1880	无效	0	65
171.213.131.121:8123	无效	0	65
171.213.131.1:1880	无效	0	65
171.213.131.2:8188	无效	0	65
171.213.132.125:66	无效	0	65
171.213.132.186:9090	无效	0	65
171.213.132.1:1880	无效	0	65
171.213.133.112:5555	无效	0	65
171.213.133.167:4022	无效	0	65
171.213.133.1:1880	无效	0	65
171.213.133.52:8188	无效	0	65
171.213.134.103:8188	无效	0	65
171.213.134.110:2222	无效	0	65
171.213.134.111:8888	无效	0	65
171.213.134.133:8188	无效	0	65
171.213.134.13:6868	无效	0	65
171.213.134.178:8188	无效	0	65
171.213.134.1:8188	无效	0	65
171.213.134.223:8188	无效	0	65
171.213.134.42:8188	无效	0	65
171.213.134.65:8188	无效	0	65
171.213.134.78:8188	无效	0	65
171.213.134.79:8188	无效	0	65
171.213.134.89:6868	无效	0	65
171.213.135.128:8899	无效	0	65
171.213.135.151:9977	无效	0	65
171.213.135.17:8888	无效	0	65
171.213.135.1:1880	无效	0	65
171.213.135.213:4022	无效	0	65
171.213.136.136:8188	无效	0	65
171.213.136.1:8188	无效	0	65
171.213.136.238:6868	无效	0	65
171.213.136.39:8188	无效	0	65
171.213.137.158:8188	无效	0	65
171.213.137.159:4443	无效	0	65
171.213.137.1:1880	无效	0	65
171.213.137.1:8188	无效	0	65
171.213.137.217:8188	无效	0	65
171.213.137.62:4022	无效	0	65
171.213.138.123:9999	无效	0	65
171.213.138.133:1880	无效	0	65
171.213.138.138:8188	无效	0	65
171.213.138.1:1880	无效	0	65
171.213.138.1:4443	无效	0	65
171.213.138.1:8188	无效	0	65
171.213.138.244:9999	无效	0	65
171.213.139.100:4022	无效	0	65
171.213.139.1:8188	无效	0	65
171.213.139.204:9100	无效	0	65
171.213.139.254:8188	无效	0	65
171.213.140.144:4022	无效	0	65
171.213.140.1:1880	无效	0	65
171.213.140.1:8188	无效	0	65
171.213.140.251:4022	无效	0	65
171.213.140.58:8188	无效	0	65
171.213.141.110:9999	无效	0	65
171.213.141.182:5678	无效	0	65
171.213.141.1:1880	无效	0	65
171.213.141.1:8188	无效	0	65
171.213.141.207:8888	无效	0	65
171.213.141.229:8188	无效	0	65
171.213.141.49:9003	无效	0	65
171.213.142.1:1880	无效	0	65
171.213.142.1:8188	无效	0	65
171.213.142.1:9999	无效	0	65
171.213.142.218:9999	无效	0	65
171.213.142.64:4022	无效	0	65
171.213.143.144:8188	无效	0	65
171.213.143.167:4200	无效	0	65
171.213.143.182:9999	无效	0	65
171.213.143.1:1880	无效	0	65
171.213.143.1:8188	无效	0	65
171.213.143.208:8188	无效	0	65
171.213.143.253:8188	无效	0	65
171.213.143.29:8188	无效	0	65
171.213.143.76:9999	无效	0	65
171.213.144.181:8188	无效	0	65
171.213.144.1:4022	无效	0	65
171.213.144.1:8188	无效	0	65
171.213.144.1:8886	无效	0	65
171.213.145.1:4022	无效	0	65
171.213.145.1:8188	无效	0	65
171.213.145.200:8188	无效	0	65
171.213.145.205:9100	无效	0	65
