# 20260605_0213_precise_history
# 服务器地址	状态	测试有效次数	测试无效次数
222.223.177.226:16000	无效	0	84
221.197.236.121:82	无效	0	84
221.239.48.149:8888	无效	0	84
180.212.220.88:8888	无效	0	84
117.10.133.89:8888	无效	0	84
117.13.24.223:4022	无效	0	84
117.8.141.139:8834	无效	0	84
117.8.141.215:8834	无效	0	84
117.8.141.254:8834	无效	0	84
117.8.143.139:8834	无效	0	84
117.8.143.167:4022	无效	0	84
117.8.143.237:8834	无效	0	84
125.36.43.36:8888	无效	0	84
125.37.57.69:1975	无效	0	84
180.212.29.244:4023	无效	0	84
180.213.170.1:8188	无效	0	84
180.213.170.24:8188	无效	0	84
221.197.236.147:82	无效	0	84
221.197.236.225:82	无效	0	84
221.197.251.56:8888	无效	0	84
221.198.101.11:4022	无效	0	84
221.198.178.31:5555	无效	0	84
221.198.180.129:5555	无效	0	84
221.198.186.56:5555	无效	0	84
221.198.190.95:5555	无效	0	84
221.198.207.108:8888	无效	0	84
221.198.74.130:8888	无效	0	84
221.198.74.224:8888	无效	0	84
36.106.166.220:1111	无效	0	84
36.106.166.27:1111	无效	0	84
36.106.167.52:1111	无效	0	84
36.106.2.114:8000	无效	0	84
60.26.63.145:8000	无效	0	84
60.26.63.91:8000	无效	0	84
60.27.237.9:8888	无效	0	84
﻿# 2026/05/20 10:33	无效	0	84
168250.xyz:1111	无效	0	33
