# 20260707_1406_precise_history
# 服务器地址	状态	测试有效次数	测试无效次数
113.120.171.27:4022	有效	158	104
144.255.31.141:6688	有效	103	159
123.168.94.252:4000	有效	32	230
122.5.221.178:60233	有效	4	258
144.255.44.115:7788	有效	17	245
123.168.210.194:6777	有效	249	13
113.122.234.17:4567	无效	0	262
112.251.226.158:4000	无效	0	262
112.255.232.166:4000	无效	0	262
113.120.168.169:4022	无效	0	262
113.120.168.1:4022	无效	0	262
113.120.168.90:4022	无效	0	262
113.120.169.158:4022	无效	0	262
113.120.169.188:4022	无效	0	262
113.120.169.1:4022	无效	0	262
113.120.170.1:4022	无效	0	262
113.120.170.217:4022	无效	0	262
113.120.171.1:4022	无效	0	262
113.120.193.49:8188	无效	0	262
113.120.243.81:5006	无效	0	262
113.120.46.116:8123	无效	0	262
113.120.46.1:8123	无效	0	262
113.120.46.204:8123	无效	0	262
113.124.29.162:4200	无效	0	60
113.128.128.140:8688	无效	0	262
113.128.128.1:8688	无效	0	262
113.128.128.56:8688	无效	0	262
113.128.132.1:8688	无效	0	262
113.128.202.175:4022	无效	0	262
113.128.69.33:4022	无效	0	262
123.168.202.158:4021	无效	0	262
123.168.202.159:4021	无效	0	262
123.168.94.104:4000	无效	0	262
123.168.94.166:4000	无效	0	262
123.168.94.1:4000	无效	0	262
123.168.94.97:4000	无效	0	262
123.168.95.1:4000	无效	0	262
123.168.95.21:4000	无效	0	262
123.170.146.146:58888	无效	0	262
140.250.221.14:4022	无效	0	262
140.250.221.1:4022	无效	0	262
140.75.179.154:18888	无效	0	262
144.123.76.104:8188	无效	0	262
144.123.76.157:8188	无效	0	262
144.123.76.1:8188	无效	0	262
144.123.77.1:8188	无效	0	262
144.255.16.122:6688	无效	0	262
144.255.16.170:6688	无效	0	262
144.255.16.176:6688	无效	0	262
144.255.16.1:6688	无效	0	262
144.255.16.69:6688	无效	0	262
144.255.17.171:6688	无效	0	262
144.255.17.1:6688	无效	0	262
144.255.17.240:6688	无效	0	262
144.255.17.5:12345	无效	0	262
144.255.18.136:6688	无效	0	262
144.255.18.1:6688	无效	0	262
144.255.18.234:6688	无效	0	262
144.255.18.60:6688	无效	0	262
144.255.18.87:6688	无效	0	262
144.255.19.1:6688	无效	0	262
144.255.19.24:12345	无效	0	262
144.255.31.115:6688	无效	0	262
144.255.31.1:6688	无效	0	262
144.255.32.105:8288	无效	0	262
144.255.32.128:8288	无效	0	262
144.255.32.148:8288	无效	0	262
144.255.32.1:8288	无效	0	262
144.255.32.219:8288	无效	0	262
144.255.32.94:8288	无效	0	262
144.255.40.114:4022	无效	0	262
144.255.40.152:4022	无效	0	262
144.255.40.164:4022	无效	0	262
144.255.40.1:4022	无效	0	262
144.255.40.1:7788	无效	0	262
144.255.40.236:4022	无效	0	262
144.255.40.34:4022	无效	0	262
144.255.40.64:4022	无效	0	262
144.255.44.10:7788	无效	0	262
144.255.44.144:7788	无效	0	262
144.255.44.150:4022	无效	0	262
144.255.44.160:7788	无效	0	262
144.255.44.162:7788	有效	30	232
144.255.44.1:4022	无效	0	262
144.255.44.1:7788	无效	0	262
144.255.44.238:4022	无效	0	262
144.255.44.239:4022	无效	0	262
144.255.44.252:4022	无效	0	262
144.255.44.61:7788	无效	0	262
144.255.44.86:4022	无效	0	262
144.255.44.89:4022	无效	0	262
144.255.44.92:7788	无效	0	262
144.255.80.206:8664	无效	0	262
144.255.81.1:8664	无效	0	262
156.227.117.86:6688	无效	0	262
182.34.1.1:4022	无效	0	262
182.34.182.153:58000	无效	0	262
182.34.182.207:17678	无效	0	262
182.34.182.253:58000	无效	0	262
182.37.134.94:4567	无效	0	262
182.46.68.86:17923	无效	0	262
27.206.72.200:4022	无效	0	262
﻿# 2026/05/20 10:33	无效	0	262
144.255.44.254:4022	有效	12	190
144.255.36.206:8288	有效	92	110
123.168.94.165:4000	有效	202	0
80603193.xyz:4200	无效	0	202
144.255.31.236:6688	有效	105	22
144.255.44.148:4022	有效	1	126
113.128.202.86:4022	有效	3	124
144.255.81.185:8664	有效	75	18
113.128.202.95:4022	有效	4	89
144.255.44.73:7788	有效	2	91
144.255.44.204:4022	有效	21	72
144.255.36.252:8288	有效	23	70
