# 20260925_1607_precise_history
# 服务器地址	状态	测试有效次数	测试无效次数
39.77.95.74:4002	有效	58	639
39.77.20.154:4002	有效	19	678
39.77.75.225:4000	有效	68	629
119.165.132.191:6666	无效	0	697
119.165.132.1:6666	无效	0	697
119.166.162.121:4002	无效	0	697
119.166.162.1:4002	无效	0	697
124.129.234.19:4022	无效	0	697
124.129.234.1:4022	无效	0	697
124.129.234.95:4022	无效	0	697
124.135.64.121:22222	无效	0	697
124.135.64.1:22222	无效	0	697
39.65.177.1:4022	无效	0	697
39.77.157.1:4002	无效	0	697
39.77.157.82:4002	无效	0	697
39.77.158.1:4002	无效	0	697
39.77.158.64:4002	无效	0	697
39.77.160.56:4002	无效	0	697
39.77.162.1:4002	无效	0	697
39.77.162.237:4002	无效	0	697
39.77.163.199:4002	无效	0	697
39.77.163.1:4002	无效	0	697
39.77.163.38:4002	无效	0	697
39.77.20.145:4002	无效	0	697
39.77.20.147:4002	无效	0	697
39.77.20.188:4002	无效	0	697
39.77.20.1:4002	无效	0	697
39.77.21.1:4002	无效	0	697
39.77.21.4:4002	无效	0	697
39.77.22.1:4002	无效	0	697
39.77.24.138:4002	无效	0	697
39.77.24.1:4002	无效	0	697
39.77.24.205:4002	无效	0	697
39.77.25.1:4002	无效	0	697
39.77.25.64:4002	无效	0	697
39.77.252.103:4002	无效	0	697
39.77.252.138:4002	无效	0	697
39.77.252.1:4002	无效	0	697
39.77.26.122:4002	无效	0	697
39.77.26.1:4002	无效	0	697
39.77.26.54:4002	无效	0	697
39.77.26.6:4002	无效	0	697
39.77.27.109:4002	无效	0	697
39.77.27.115:4002	无效	0	697
39.77.27.1:4002	无效	0	697
39.77.27.246:4002	无效	0	697
39.77.94.1:4002	无效	0	697
39.77.94.75:4002	无效	0	697
39.77.95.1:4002	无效	0	697
39.89.122.1:8188	无效	0	697
39.89.122.41:8188	无效	0	697
39.89.184.1:8188	无效	0	697
39.89.184.21:8188	无效	0	697
39.77.25.221:4002	有效	18	619
39.77.160.143:4002	有效	23	614
39.77.161.47:4002	有效	11	626
119.166.166.140:4002	有效	34	603
39.77.158.228:4002	有效	295	342
39.77.24.219:4002	有效	91	546
39.77.23.85:4002	有效	12	625
39.77.26.255:4002	有效	52	585
39.77.163.252:4002	有效	34	603
119.166.165.39:4002	有效	146	491
39.77.20.85:4002	有效	5	596
39.77.163.179:4002	有效	4	558
39.77.21.53:4002	有效	4	558
39.77.159.240:4002	有效	151	411
124.135.64.35:22222	有效	357	205
39.77.159.13:4002	有效	21	507
39.77.26.162:4002	有效	29	380
39.77.163.221:4002	有效	119	290
39.77.163.227:4002	有效	39	370
39.77.21.198:4002	有效	17	392
39.77.159.145:4002	有效	157	252
39.77.26.194:4002	有效	17	392
39.77.20.214:4002	有效	39	329
119.166.166.34:4002	有效	19	184
39.77.26.109:4002	有效	22	181
39.77.22.4:4002	有效	40	163
39.77.26.75:4002	有效	202	1
39.77.22.26:4002	有效	142	61
39.77.161.85:4002	有效	59	0
39.77.163.249:4002	有效	12	47
119.166.169.102:4002	有效	26	0
39.77.25.56:4002	有效	26	0
39.77.25.244:4002	有效	26	0
