# 自动生成于 2026/05/20 21:32
# 城市: 广东电信
# 质量阈值: 5
# 配置数量: 20
# 格式: 网关IP:端口,选项
# 选项说明: 0/10=固定C段, 2/12=C段范围

14.217.222.1:8188,10
183.51.190.1:6633,10
58.62.234.1:10000,10
113.101.245.1:9988,10
59.35.185.1:8188,10
113.110.77.1:8188,10
183.236.43.1:4013,10
113.65.124.1:9530,10
183.236.43.1:4111,10
113.95.137.1:30001,10
113.90.237.1:8888,10
113.104.186.1:7088,10
113.119.25.1:58888,10
116.30.249.1:9876,10
113.83.248.1:4200,10
183.236.43.1:4014,10
udp2.gdsz.eu.1:8888,10
113.77.240.1:6822,10
119.131.89.1:4333,10
183.7.145.1:8886,12
