# 20260626_1045_precise_history
# 服务器地址	状态	测试有效次数	测试无效次数
113.65.124.131:9530	有效	104	94
183.236.43.98:4013	有效	179	19
113.77.240.60:6822	有效	73	125
113.119.25.4:58888	有效	51	147
113.90.237.208:8888	有效	7	191
113.104.186.129:7088	有效	1	197
116.30.249.185:9876	有效	19	179
113.110.77.43:8188	有效	84	114
183.236.43.98:4014	有效	60	0
116.30.249.107:9876	有效	19	179
58.62.234.243:10000	有效	44	154
183.236.43.98:4111	有效	174	24
59.35.185.47:8188	有效	187	11
119.131.89.210:4333	有效	12	186
www.guangyuan.site:8188	有效	60	138
14.217.222.0:8188	有效	189	9
113.83.248.109:4200	有效	4	194
udp2.gdsz.eu.org:8888	有效	156	42
183.51.190.104:6633	有效	51	147
113.101.245.54:9988	有效	26	172
www.ruoshui.uno:554	有效	97	101
113.95.137.190:30001	有效	11	187
www.yahao.host:4022	有效	196	2
113.64.147.85:8081	无效	0	198
14.153.182.5:4022	无效	0	198
14.212.133.12:4022	无效	0	198
113.104.4.54:500	无效	0	198
113.104.4.54:4500	无效	0	198
14.145.152.5:8000	无效	0	198
183.26.169.50:8188	无效	0	198
14.145.205.10:6006	无效	0	198
100.64.12.95:85	无效	0	198
100.64.4.147:85	无效	0	198
104.21.52.5:8800	无效	0	198
104.21.86.71:8081	无效	0	198
106.111.127.69:8686	无效	0	198
113.101.222.112:8188	无效	0	198
113.101.222.236:8188	无效	0	198
113.101.245.1:9988	无效	0	198
113.101.245.228:9988	无效	0	198
113.101.245.46:9988	无效	0	198
113.101.28.146:8889	无效	0	198
113.101.28.194:8889	无效	0	198
113.101.28.242:8889	无效	0	198
113.102.19.37:10001	无效	0	198
113.103.3.173:4000	无效	0	198
113.103.53.1:8686	无效	0	198
113.104.184.1:7088	无效	0	198
113.104.185.17:7088	无效	0	198
113.104.185.1:7088	无效	0	198
113.104.185.20:7088	无效	0	198
113.104.186.145:7088	无效	0	198
113.104.186.1:7088	无效	0	198
113.104.187.129:7088	无效	0	198
113.104.187.142:7088	无效	0	198
113.104.187.157:7088	无效	0	198
113.104.187.158:7088	无效	0	198
113.104.187.179:7088	无效	0	198
113.104.187.1:7088	无效	0	198
113.104.236.1:7088	无效	0	198
113.104.237.1:7088	无效	0	198
113.104.238.1:7088	无效	0	198
113.104.239.1:7088	无效	0	198
113.104.239.64:7088	无效	0	198
113.105.209.198:8188	无效	0	198
113.106.171.234:8899	无效	0	198
113.119.24.121:58888	无效	0	198
113.119.24.176:58888	无效	0	198
113.119.24.1:58888	无效	0	198
113.119.24.206:58888	无效	0	198
113.119.24.211:58888	无效	0	198
113.119.24.60:58888	无效	0	198
113.119.24.87:58888	无效	0	198
113.119.25.135:58888	无效	0	198
113.119.25.145:58888	无效	0	198
113.119.25.1:58888	无效	0	198
113.119.25.235:58888	无效	0	198
113.119.25.24:58888	无效	0	198
113.119.25.251:58888	无效	0	198
113.119.26.122:58888	无效	0	198
113.119.26.142:58888	无效	0	198
113.119.26.16:58888	无效	0	198
113.119.26.179:58888	无效	0	198
113.119.26.183:58888	无效	0	198
113.119.26.196:58888	无效	0	198
113.119.26.198:58888	无效	0	198
113.119.26.1:58888	无效	0	198
113.119.26.210:58888	无效	0	198
113.119.26.215:58888	无效	0	198
113.119.26.250:58888	无效	0	198
113.119.26.64:58888	无效	0	198
113.119.27.119:58888	无效	0	198
113.119.27.131:58888	无效	0	198
113.119.27.134:58888	无效	0	198
113.119.27.137:58888	无效	0	198
113.119.27.13:58888	无效	0	198
113.119.27.140:58888	无效	0	198
113.119.27.163:58888	无效	0	198
113.119.27.173:58888	无效	0	198
113.119.27.182:58888	无效	0	198
113.119.27.199:58888	无效	0	198
113.119.27.1:58888	无效	0	198
113.119.27.224:58888	无效	0	198
113.119.27.243:58888	无效	0	198
113.119.27.244:58888	无效	0	198
113.119.27.252:58888	无效	0	198
113.119.27.62:58888	无效	0	198
113.119.27.90:58888	无效	0	198
113.45.175.54:4022	无效	0	198
113.45.178.95:4440	无效	0	198
113.45.19.31:7180	无效	0	198
113.45.20.219:50090	无效	0	198
113.45.23.8:9080	无效	0	198
113.45.25.217:19150	无效	0	198
113.45.29.6:36	无效	0	198
113.45.29.97:1025	无效	0	198
113.45.30.14:18081	无效	0	198
113.45.38.169:9006	无效	0	198
113.45.5.141:6007	无效	0	198
113.45.53.110:6060	无效	0	198
113.45.62.192:8983	无效	0	198
113.46.138.97:7288	无效	0	198
113.46.194.7:8140	无效	0	198
113.64.147.108:8081	无效	0	198
113.64.147.112:8081	无效	0	198
113.64.147.120:8081	无效	0	198
113.64.147.179:8081	无效	0	198
113.64.147.180:8081	无效	0	198
113.64.147.181:8081	无效	0	198
113.64.147.204:8081	无效	0	198
113.64.147.222:8081	无效	0	198
113.64.147.232:8081	无效	0	198
113.64.147.3:8081	无效	0	198
113.64.147.58:8081	无效	0	198
113.64.147.59:8081	无效	0	198
113.64.147.73:8081	无效	0	198
113.65.10.52:4000	无效	0	198
113.65.124.131:9527	有效	40	158
113.65.163.95:4333	无效	0	198
113.65.5.76:85	无效	0	198
113.65.7.94:8888	无效	0	198
113.65.9.141:4013	无效	0	198
113.65.9.141:4014	无效	0	198
113.65.9.141:4016	无效	0	198
113.65.9.141:4111	无效	0	198
113.65.9.173:4013	无效	0	198
113.65.9.173:4014	无效	0	198
113.65.9.173:4016	无效	0	198
113.65.9.173:4111	无效	0	198
113.65.9.1:4013	无效	0	198
113.65.9.1:4111	无效	0	198
113.65.9.205:4013	无效	0	198
113.65.9.223:4013	无效	0	198
113.65.9.223:4014	无效	0	198
113.65.9.223:4016	无效	0	198
113.65.9.223:4111	无效	0	198
113.65.9.226:4013	无效	0	198
113.65.9.232:4013	无效	0	198
113.65.9.232:4014	无效	0	198
113.65.9.232:4016	无效	0	198
113.65.9.232:4111	无效	0	198
113.65.9.32:4013	无效	0	198
113.65.9.36:4013	无效	0	198
113.65.9.76:4013	无效	0	198
113.75.181.172:2086	无效	0	198
113.78.240.77:8443	无效	0	198
113.78.252.188:8888	无效	0	198
113.83.248.121:4200	无效	0	198
113.83.248.139:4200	无效	0	198
113.83.248.142:4200	无效	0	198
113.83.248.173:4200	无效	0	198
113.83.248.1:4200	无效	0	198
113.83.248.201:4200	无效	0	198
113.83.248.84:4200	无效	0	198
113.85.52.135:4022	无效	0	198
