# 自动生成于 2026/05/20 21:32
# 城市: 江西电信
# 质量阈值: 5
# 配置数量: 20
# 格式: 网关IP:端口,选项
# 选项说明: 0/10=固定C段, 2/12=C段范围

220.176.219.1:9000,10
106.7.235.1:8008,12
111.79.127.1:8688,12
59.52.59.1:8008,12
111.79.126.1:8688,12
59.55.254.1:6565,12
106.5.52.1:9000,12
117.44.118.1:9000,12
218.87.75.1:8008,12
59.55.75.1:8688,12
111.73.20.1:1009,12
59.52.56.1:8008,12
106.5.33.1:9000,12
220.175.132.1:8008,12
59.55.252.1:6565,12
59.55.253.1:6565,12
182.110.171.1:4022,12
117.40.99.1:8008,12
106.5.78.1:4022,12
106.5.79.1:4022,12
