# 20260714_2054_precise_history
# 服务器地址	状态	测试有效次数	测试无效次数
123.13.245.164:4002	有效	176	128
42.237.223.61:8899	有效	1	303
115.58.142.83:4000	有效	6	298
218.29.135.3:4000	无效	0	304
218.29.135.6:4000	无效	0	304
218.29.135.5:4000	无效	0	304
218.29.135.4:4000	无效	0	304
218.29.135.2:4000	无效	0	304
222.141.134.165:8888	有效	4	300
42.228.120.175:5000	无效	0	304
115.54.186.113:10000	无效	0	304
115.58.140.1:4000	无效	0	304
115.58.141.1:4000	无效	0	304
115.58.141.219:4000	无效	0	304
115.58.141.249:4000	无效	0	304
115.58.142.167:4000	无效	0	304
115.58.142.1:4000	无效	0	304
115.58.143.1:4000	无效	0	304
115.58.166.78:8188	无效	0	304
115.58.216.145:4000	无效	0	304
115.58.216.156:4000	无效	0	304
115.58.216.159:4000	无效	0	304
115.58.216.199:4000	无效	0	304
115.58.216.1:4000	无效	0	304
115.58.216.241:4000	无效	0	304
115.58.216.5:4000	无效	0	304
115.58.216.71:4000	无效	0	304
115.58.216.93:4000	无效	0	304
115.58.217.170:4000	无效	0	304
115.58.217.1:4000	无效	0	304
115.58.218.1:4000	无效	0	304
115.58.218.64:4000	无效	0	304
115.63.38.215:4000	无效	0	304
120.0.29.100:4001	无效	0	304
120.0.29.2:4001	无效	0	304
120.6.111.40:8088	无效	0	304
120.6.111.72:8088	无效	0	304
121.29.166.161:23456	无效	0	304
121.29.169.199:2083	无效	0	304
121.29.215.157:2083	无效	0	304
121.29.90.223:7077	无效	0	304
123.11.13.1:4000	无效	0	304
123.11.14.1:4000	无效	0	304
123.11.14.55:4000	无效	0	304
123.4.208.1:8188	无效	0	304
123.4.208.243:8188	无效	0	304
123.4.209.1:8188	无效	0	304
123.4.211.1:8188	无效	0	304
123.4.212.1:8188	无效	0	304
123.4.213.1:8188	无效	0	304
123.4.214.1:8188	无效	0	304
123.4.215.1:8188	无效	0	304
123.4.217.1:8188	无效	0	304
123.4.218.1:8188	无效	0	304
123.4.219.1:8188	无效	0	304
123.4.221.1:8188	无效	0	304
123.4.222.1:8188	无效	0	304
123.4.223.1:8188	无效	0	304
125.228.183.73:8899	无效	0	304
125.44.254.112:4001	无效	0	304
125.44.254.128:4001	无效	0	304
125.44.254.1:4001	无效	0	304
125.44.254.63:4001	无效	0	304
125.44.255.1:4001	无效	0	304
125.44.255.82:4001	无效	0	304
182.119.250.13:4022	无效	0	304
182.120.16.103:8188	无效	0	304
192.168.1.188:8800	无效	0	304
219.156.112.83:4022	无效	0	304
219.156.115.1:4022	无效	0	304
219.156.31.202:4000	无效	0	304
219.156.32.1:4022	无效	0	304
219.156.32.8:4022	无效	0	304
219.156.33.17:4022	无效	0	304
219.156.33.1:4022	无效	0	304
219.156.34.1:4022	无效	0	304
219.156.35.123:4022	无效	0	304
219.156.35.1:4022	无效	0	304
219.156.55.63:4000	无效	0	304
219.156.80.1:4022	无效	0	304
219.156.82.12:4022	无效	0	304
219.156.82.1:4022	无效	0	304
219.156.82.26:4022	无效	0	304
219.156.83.1:4022	无效	0	304
219.156.84.1:4022	无效	0	304
219.156.85.1:4022	无效	0	304
219.156.86.1:4022	无效	0	304
219.156.87.1:4022	无效	0	304
219.156.87.51:4022	无效	0	304
219.156.90.199:4022	无效	0	304
219.156.90.1:4022	无效	0	304
219.156.91.1:4022	无效	0	304
219.156.92.1:4022	无效	0	304
219.156.93.1:4022	无效	0	304
219.156.94.1:4022	无效	0	304
219.156.95.1:4022	无效	0	304
219.157.252.98:4000	无效	0	304
221.14.196.1:4022	无效	0	304
221.15.3.77:4000	无效	0	304
221.193.60.22:4090	无效	0	304
221.193.60.65:4090	无效	0	304
221.202.234.53:8899	无效	0	304
222.136.153.160:8888	无效	0	304
42.110.24.10:8899	无效	0	304
42.114.27.178:8899	无效	0	304
42.118.24.46:8899	无效	0	304
42.127.24.181:8899	无效	0	304
42.127.26.177:8899	无效	0	304
42.138.26.43:8899	无效	0	304
42.14.24.105:8899	无效	0	304
42.152.26.9:8899	无效	0	304
42.162.27.5:8899	无效	0	304
42.172.26.244:8899	无效	0	304
42.182.24.227:8899	无效	0	304
42.182.26.171:8899	无效	0	304
42.188.26.62:8899	无效	0	304
42.190.25.207:8899	无效	0	304
42.191.27.174:8899	无效	0	304
42.205.25.188:8899	无效	0	304
42.205.25.211:8899	无效	0	304
42.209.26.140:8899	无效	0	304
42.215.26.214:8899	无效	0	304
42.215.27.34:8899	无效	0	304
42.217.26.242:8899	无效	0	304
42.227.120.189:7000	无效	0	304
42.228.122.148:5000	无效	0	304
42.228.32.1:8190	无效	0	304
42.228.33.1:8190	无效	0	304
42.228.33.242:8190	无效	0	304
42.228.34.1:8190	无效	0	304
42.228.35.1:8190	无效	0	304
42.228.36.1:8190	无效	0	304
42.228.37.105:8190	无效	0	304
42.228.37.162:8190	无效	0	304
42.228.37.1:8190	无效	0	304
42.228.38.1:8190	无效	0	304
42.228.38.241:8190	无效	0	304
42.228.39.1:8190	无效	0	304
42.232.24.25:8899	无效	0	304
42.232.26.13:8899	无效	0	304
42.237.137.72:4022	无效	0	304
42.237.152.1:4022	无效	0	304
42.237.153.1:4022	无效	0	304
42.237.154.1:4022	无效	0	304
42.237.155.1:4022	无效	0	304
42.237.156.1:4022	无效	0	304
42.237.157.1:4022	无效	0	304
42.237.158.1:4022	无效	0	304
42.237.212.149:4022	无效	0	304
42.237.212.1:4022	无效	0	304
42.237.212.27:4022	无效	0	304
42.237.222.1:8899	无效	0	304
42.237.222.63:8899	无效	0	304
42.237.223.121:8899	无效	0	304
