# 20260520_2139_precise_history
# 服务器地址	状态	测试有效次数	测试无效次数
183.157.18.182:8686	有效	2	0
125.115.205.131:4023	有效	2	0
115.210.210.38:8001	有效	2	0
60.183.108.103:8000	有效	2	0
125.114.213.121:50000	有效	1	1
183.141.15.9:9999	有效	2	0
115.208.160.145:4000	无效	0	2
103.197.71.103:8888	无效	0	2
104.21.96.68:8888	无效	0	2
115.192.101.1:4022	无效	0	2
115.192.106.236:4022	无效	0	2
115.192.164.187:4022	无效	0	2
115.192.237.1:4022	无效	0	2
115.192.99.131:4022	无效	0	2
115.192.99.1:4022	无效	0	2
115.194.179.74:9999	无效	0	2
115.195.38.254:4022	无效	0	2
115.195.78.150:4022	无效	0	2
115.197.131.63:8888	无效	0	2
115.201.139.39:9999	无效	0	2
115.201.163.184:9999	无效	0	2
115.201.163.246:9999	无效	0	2
115.203.133.1:8877	无效	0	2
115.203.136.180:8877	无效	0	2
115.203.136.1:8877	无效	0	2
115.203.146.1:8877	无效	0	2
115.203.147.189:8877	无效	0	2
115.203.152.1:8877	无效	0	2
115.203.154.1:8877	无效	0	2
115.203.166.1:8877	无效	0	2
115.203.173.1:8877	无效	0	2
115.203.176.1:8877	无效	0	2
115.203.191.1:8877	无效	0	2
115.203.226.1:8877	无效	0	2
115.203.227.1:8877	无效	0	2
115.203.229.17:8877	无效	0	2
115.203.229.1:8877	无效	0	2
115.203.24.1:8877	无效	0	2
115.203.241.1:8877	无效	0	2
115.203.247.125:58888	无效	0	2
115.203.58.1:9999	无效	0	2
115.203.66.1:8877	无效	0	2
115.203.72.208:8877	无效	0	2
115.203.81.214:58888	无效	0	2
115.203.82.1:8877	无效	0	2
115.203.82.201:8877	无效	0	2
115.203.85.1:8877	无效	0	2
115.203.87.1:8877	无效	0	2
115.203.89.130:8877	无效	0	2
115.203.89.130:8878	无效	0	2
115.203.92.1:8877	无效	0	2
115.204.117.219:12345	无效	0	2
115.205.160.252:4022	无效	0	2
115.205.26.133:8888	无效	0	2
115.205.26.190:8888	无效	0	2
115.206.120.212:4022	无效	0	2
115.206.188.101:4022	无效	0	2
115.207.173.120:8881	无效	0	2
115.207.173.120:8889	无效	0	2
115.207.173.64:8881	无效	0	2
115.207.173.64:8888	无效	0	2
115.207.173.64:8889	无效	0	2
115.207.173.68:8881	无效	0	2
115.207.173.68:8888	无效	0	2
115.207.173.68:8889	无效	0	2
115.207.173.98:8889	无效	0	2
115.207.208.115:8888	无效	0	2
115.207.211.217:8881	无效	0	2
115.207.211.217:8889	无效	0	2
115.207.211.98:8881	无效	0	2
115.207.211.98:8889	无效	0	2
115.207.212.107:8881	无效	0	2
115.207.212.107:8888	无效	0	2
115.207.212.107:8889	无效	0	2
115.207.32.146:9999	无效	0	2
115.210.74.232:58888	无效	0	2
115.211.107.229:4022	无效	0	2
115.211.3.1:8001	无效	0	2
115.212.238.100:8001	无效	0	2
115.213.23.247:7088	无效	0	2
115.214.206.141:7088	有效	1	1
115.214.206.1:7088	无效	0	2
115.216.161.183:8088	无效	0	2
115.216.4.169:9999	无效	0	2
115.217.232.196:7088	无效	0	2
115.217.42.82:4022	无效	0	2
115.217.47.193:4022	无效	0	2
115.221.83.1:8888	无效	0	2
115.221.84.1:8888	无效	0	2
115.227.165.137:4000	无效	0	2
115.227.178.1:4000	无效	0	2
115.227.179.1:4000	无效	0	2
115.227.65.1:4000	无效	0	2
115.230.144.116:9999	无效	0	2
115.230.182.19:9999	无效	0	2
115.230.189.17:9999	无效	0	2
115.230.189.210:9999	无效	0	2
115.230.248.22:9999	无效	0	2
115.230.250.185:9999	无效	0	2
115.230.59.1:4022	无效	0	2
115.239.82.212:9999	无效	0	2
122.231.26.2:8888	无效	0	2
122.234.0.166:8090	无效	0	2
122.234.166.195:8000	无效	0	2
122.235.165.151:4022	无效	0	2
122.235.224.1:4022	无效	0	2
122.238.173.70:9999	无效	0	2
122.238.174.25:9999	无效	0	2
122.239.250.1:8044	无效	0	2
122.239.251.1:8044	无效	0	2
122.239.252.1:8044	无效	0	2
122.239.254.1:8044	无效	0	2
122.246.145.32:7777	无效	0	2
122.246.150.63:7777	无效	0	2
122.246.48.235:9998	无效	0	2
122.246.50.251:9998	无效	0	2
123.97.186.1:4022	无效	0	2
125.104.242.167:4022	无效	0	2
125.107.247.1:8888	无效	0	2
125.107.247.81:8888	无效	0	2
125.107.250.1:5522	无效	0	2
125.107.32.1:8888	无效	0	2
125.107.55.100:8888	无效	0	2
125.107.55.1:8888	无效	0	2
125.107.55.90:8888	无效	0	2
125.107.9.155:8888	无效	0	2
125.108.113.176:7778	无效	0	2
125.108.145.198:7778	无效	0	2
125.113.250.103:58888	无效	0	2
125.113.250.178:58888	无效	0	2
125.113.250.1:58888	无效	0	2
125.115.205.1:4023	无效	0	2
125.117.147.1:4000	无效	0	2
125.117.147.80:4000	无效	0	2
125.117.152.1:4000	无效	0	2
125.117.213.182:4022	无效	0	2
125.118.21.1:4022	无效	0	2
125.118.21.39:4022	无效	0	2
125.118.21.66:4022	无效	0	2
125.118.56.1:4022	无效	0	2
125.118.57.1:4022	无效	0	2
125.118.58.1:4022	无效	0	2
125.118.60.1:4022	无效	0	2
125.118.61.1:4022	无效	0	2
125.118.62.1:4022	无效	0	2
125.118.63.1:4022	无效	0	2
125.118.64.1:4022	无效	0	2
125.118.65.1:4022	无效	0	2
125.118.67.1:4022	无效	0	2
125.118.68.1:4022	无效	0	2
125.118.68.75:4022	无效	0	2
125.118.69.1:4022	无效	0	2
125.118.69.212:4022	无效	0	2
125.118.70.1:4022	无效	0	2
125.118.71.1:4022	无效	0	2
125.118.73.144:4022	无效	0	2
125.118.73.1:4022	无效	0	2
125.118.74.79:4022	无效	0	2
125.118.75.1:4022	无效	0	2
125.118.78.1:4022	无效	0	2
125.118.79.1:4022	无效	0	2
125.118.85.1:4022	无效	0	2
125.118.94.1:4022	无效	0	2
125.123.121.1:8188	无效	0	2
125.123.121.210:8188	无效	0	2
125.123.144.1:4022	无效	0	2
125.123.146.241:4022	无效	0	2
125.123.149.1:4022	无效	0	2
125.123.149.206:4022	无效	0	2
125.123.184.48:9999	无效	0	2
125.123.210.1:8188	无效	0	2
125.125.181.194:4000	无效	0	2
125.126.2.253:4022	无效	0	2
157.90.33.73:9999	无效	0	2
157.90.33.74:9999	无效	0	2
172.67.173.254:8888	无效	0	2
183.128.122.224:4022	无效	0	2
183.128.122.72:9999	无效	0	2
183.128.176.1:4022	无效	0	2
183.128.177.1:4022	无效	0	2
183.128.178.1:4022	无效	0	2
183.128.195.1:4022	无效	0	2
183.128.69.1:4022	无效	0	2
183.128.69.3:4022	无效	0	2
183.130.34.1:9011	无效	0	2
183.130.35.109:9011	无效	0	2
183.130.35.1:9011	无效	0	2
183.130.35.79:9011	无效	0	2
183.130.72.1:50000	无效	0	2
183.130.74.1:50000	无效	0	2
183.130.74.228:50000	无效	0	2
183.130.77.1:50000	无效	0	2
183.130.80.1:50000	无效	0	2
183.130.81.1:50000	无效	0	2
183.130.82.1:50000	无效	0	2
183.130.83.1:50000	无效	0	2
183.130.85.1:50000	无效	0	2
183.133.105.235:8899	无效	0	2
183.133.106.101:8899	无效	0	2
183.133.106.77:8899	无效	0	2
183.133.107.21:8899	无效	0	2
183.134.138.240:4022	无效	0	2
183.134.168.62:4022	无效	0	2
183.141.171.97:8188	无效	0	2
183.142.199.74:8889	无效	0	2
183.146.120.1:8001	无效	0	2
183.146.120.97:8001	无效	0	2
183.148.190.243:9999	无效	0	2
183.151.24.1:4022	无效	0	2
183.151.25.1:4022	无效	0	2
183.151.25.253:4022	无效	0	2
183.151.26.1:4022	无效	0	2
183.151.27.188:4022	无效	0	2
183.151.27.1:4022	无效	0	2
183.151.28.1:4022	无效	0	2
183.151.29.1:4022	无效	0	2
183.151.30.1:4022	无效	0	2
183.154.20.118:8001	无效	0	2
183.156.26.152:8090	无效	0	2
183.156.64.1:4022	无效	0	2
183.156.64.87:4022	无效	0	2
183.156.65.113:4022	无效	0	2
183.156.65.1:4022	无效	0	2
183.156.66.1:4022	无效	0	2
183.156.67.1:4022	无效	0	2
183.156.68.1:4022	无效	0	2
183.156.69.1:4022	无效	0	2
183.156.70.142:4022	无效	0	2
183.156.70.1:4022	无效	0	2
183.156.71.1:4022	无效	0	2
216.197.142.84:8899	无效	0	2
218.74.24.231:8686	无效	0	2
220.188.169.56:50000	无效	0	2
220.190.54.1:8188	无效	0	2
220.190.54.26:8188	无效	0	2
220.190.68.1:8888	无效	0	2
220.190.72.1:8888	无效	0	2
220.190.73.1:8888	无效	0	2
220.190.74.1:8888	无效	0	2
220.190.76.1:8888	无效	0	2
220.190.78.1:8888	无效	0	2
220.190.78.86:8888	无效	0	2
36.22.65.1:4022	无效	0	2
36.22.65.84:4022	无效	0	2
36.24.100.1:8888	无效	0	2
36.24.103.1:8888	无效	0	2
36.24.114.1:8888	无效	0	2
36.24.116.157:8888	无效	0	2
36.24.116.1:8888	无效	0	2
36.24.180.1:8888	无效	0	2
36.24.184.1:8888	无效	0	2
36.24.185.133:8888	无效	0	2
36.24.185.1:8888	无效	0	2
36.24.186.173:8888	无效	0	2
36.24.186.1:8888	无效	0	2
36.24.187.1:8888	无效	0	2
36.24.191.1:8888	无效	0	2
36.24.201.1:8888	无效	0	2
36.24.202.1:8888	无效	0	2
36.24.204.11:8888	无效	0	2
36.24.204.1:8888	无效	0	2
36.24.207.1:8888	无效	0	2
36.24.227.1:8888	无效	0	2
36.24.231.138:8888	无效	0	2
36.24.231.1:8888	无效	0	2
36.24.65.1:8888	无效	0	2
36.24.66.1:8888	无效	0	2
36.24.76.1:8888	无效	0	2
36.24.79.1:8888	无效	0	2
36.24.91.1:8888	无效	0	2
36.27.1.1:4022	无效	0	2
36.27.1.79:4022	无效	0	2
36.27.104.1:4022	无效	0	2
36.27.125.1:4022	无效	0	2
36.27.160.1:4022	无效	0	2
36.27.179.1:4022	无效	0	2
36.27.20.1:4022	无效	0	2
36.27.28.1:4022	无效	0	2
