# 20260721_1013_precise_history
# 服务器地址	状态	测试有效次数	测试无效次数
112.66.98.50:4022	有效	9	333
112.66.100.10:4022	无效	0	342
112.66.100.1:4022	无效	0	342
112.66.100.1:8888	无效	0	342
112.66.101.1:4022	无效	0	342
112.66.101.27:4022	无效	0	342
112.66.102.150:4022	无效	0	342
112.66.102.1:4022	无效	0	342
112.66.103.125:8888	无效	0	342
112.66.103.1:4022	无效	0	342
112.66.143.1:8889	无效	0	342
112.66.205.207:9999	无效	0	342
112.66.64.1:8188	无效	0	342
112.66.65.1:8188	无效	0	342
112.66.66.1:8188	无效	0	342
112.66.67.1:8188	无效	0	342
112.66.68.106:8188	无效	0	342
112.66.68.114:8188	无效	0	342
112.66.68.1:8188	无效	0	342
112.66.68.255:8188	无效	0	342
112.66.68.4:8188	无效	0	342
112.66.69.1:8188	无效	0	342
112.66.70.1:8188	无效	0	342
112.66.71.1:8188	无效	0	342
112.66.72.1:8188	无效	0	342
112.66.73.1:8188	无效	0	342
112.66.74.105:8188	无效	0	342
112.66.74.1:8188	无效	0	342
112.66.74.254:8188	无效	0	342
112.66.75.1:8188	无效	0	342
112.66.76.1:8188	无效	0	342
112.66.76.82:8188	无效	0	342
112.66.77.1:8188	无效	0	342
112.66.78.1:8188	无效	0	342
112.66.78.239:8188	无效	0	342
112.66.79.197:8188	无效	0	342
112.66.79.1:8188	无效	0	342
112.66.80.1:8188	无效	0	342
112.66.81.1:8188	无效	0	342
112.66.82.1:8188	无效	0	342
112.66.83.1:8188	无效	0	342
112.66.84.1:8188	无效	0	342
112.66.85.1:8188	无效	0	342
112.66.86.1:8188	无效	0	342
112.66.87.1:8188	无效	0	342
112.66.87.82:8188	无效	0	342
112.66.88.1:8188	无效	0	342
112.66.88.30:8188	无效	0	342
112.66.89.1:8188	无效	0	342
112.66.90.1:8188	无效	0	342
112.66.91.1:8188	无效	0	342
112.66.92.1:8188	无效	0	342
112.66.93.1:8188	无效	0	342
112.66.94.1:8188	无效	0	342
112.66.95.1:8188	无效	0	342
112.66.95.92:8188	无效	0	342
112.66.96.166:4022	无效	0	342
112.66.96.1:4022	无效	0	342
112.66.97.159:4022	无效	0	342
112.66.97.1:4022	无效	0	342
112.66.98.112:4022	无效	0	342
112.66.98.178:4022	无效	0	342
112.66.98.1:4022	无效	0	342
112.66.98.52:4022	无效	0	342
112.66.99.1:4022	无效	0	342
112.66.99.6:8888	无效	0	342
113.58.248.1:8188	无效	0	342
119.41.38.1:4000	无效	0	342
139.189.80.119:4022	无效	0	342
139.189.80.121:4022	无效	0	342
139.189.80.126:4022	无效	0	342
139.189.80.1:4022	无效	0	342
220.174.32.1:8888	无效	0	342
220.174.32.1:8889	无效	0	342
220.174.32.227:8888	无效	0	342
220.174.32.227:8889	无效	0	342
220.174.34.1:8888	无效	0	342
220.174.37.1:8888	无效	0	342
220.174.37.1:8889	无效	0	342
220.174.47.1:8888	无效	0	342
220.174.47.1:8889	无效	0	342
223.198.11.121:8888	无效	0	342
223.198.189.1:33333	无效	0	342
223.198.190.1:33333	无效	0	342
223.198.227.221:4000	无效	0	342
223.198.229.131:885	有效	10	332
223.198.240.109:4000	无效	0	342
223.198.240.1:4000	无效	0	342
223.198.240.209:4000	无效	0	342
223.198.240.52:4000	无效	0	342
223.198.240.70:4000	无效	0	342
223.198.240.93:4000	无效	0	342
223.198.240.9:4000	无效	0	342
223.198.241.180:4000	无效	0	342
223.198.241.185:4000	无效	0	342
223.198.241.1:4000	无效	0	342
223.198.241.202:4000	无效	0	342
223.198.241.63:4000	无效	0	342
223.198.242.137:4000	无效	0	342
223.198.242.140:4000	无效	0	342
223.198.242.1:4000	无效	0	342
223.198.242.211:4000	无效	0	342
223.198.242.217:4000	无效	0	342
223.198.242.26:4000	无效	0	342
223.198.242.91:4000	无效	0	342
223.198.243.103:4000	无效	0	342
223.198.243.134:4000	无效	0	342
223.198.243.167:4000	无效	0	342
223.198.243.1:4000	无效	0	342
223.198.243.223:4000	无效	0	342
223.198.243.224:4000	无效	0	342
223.198.243.79:4000	无效	0	342
223.198.243.82:4000	无效	0	342
223.198.244.1:4000	无效	0	342
223.198.245.1:4000	无效	0	342
223.198.246.1:4000	无效	0	342
223.198.247.1:4000	无效	0	342
36.101.0.11:554	无效	0	342
36.101.0.11:8886	无效	0	342
36.101.0.1:554	无效	0	342
36.101.0.1:8886	无效	0	342
36.101.1.1:554	无效	0	342
36.101.1.1:8886	无效	0	342
36.101.1.202:554	有效	4	338
36.101.1.202:8886	有效	4	338
36.101.2.1:554	无效	0	342
36.101.2.1:8886	无效	0	342
36.101.2.208:554	无效	0	342
36.101.2.208:8886	无效	0	342
36.101.3.1:554	无效	0	342
36.101.3.1:8886	无效	0	342
36.101.4.1:554	无效	0	342
36.101.4.1:8886	无效	0	342
36.101.4.93:554	无效	0	342
36.101.4.93:8886	无效	0	342
36.101.5.170:554	无效	0	342
36.101.5.170:8886	无效	0	342
36.101.5.1:554	无效	0	342
36.101.5.1:8886	无效	0	342
36.101.6.1:554	无效	0	342
36.101.6.1:8886	无效	0	342
36.101.6.7:554	无效	0	342
36.101.6.7:8886	无效	0	342
36.101.7.1:554	无效	0	342
36.101.7.1:8886	无效	0	342
59.50.153.1:3333	无效	0	342
59.50.154.1:3333	无效	0	342
59.50.159.1:3333	无效	0	342
﻿# 2026/05/20 10:28	无效	0	342
36.101.5.37:8886	有效	4	278
36.101.1.33:8886	有效	8	238
112.66.101.235:8888	有效	10	236
220.174.37.102:8888	无效	0	246
112.66.106.125:8888	有效	7	200
36.101.2.98:8886	有效	18	189
112.66.106.247:8888	有效	7	166
112.66.101.84:8888	有效	6	167
36.101.4.176:8886	有效	13	121
112.66.102.141:8888	有效	6	128
112.66.101.130:8888	有效	116	18
220.174.37.77:8888	有效	9	125
112.66.103.39:8888	有效	26	28
220.174.34.98:8888	无效	0	54
36.101.3.142:8886	有效	10	3
119.41.39.127:4000	有效	11	2
112.66.101.168:8888	无效	0	13
112.66.103.188:8888	无效	0	13
