# 20260529_0202_precise_history
# 服务器地址	状态	测试有效次数	测试无效次数
118.251.18.94:8188	无效	0	48
106.45.14.245:4001	无效	0	48
106.45.14.245:4002	无效	0	48
106.45.15.115:4001	无效	0	48
113.218.137.181:7000	无效	0	48
113.218.210.201:20000	无效	0	48
113.219.36.1:8887	无效	0	48
113.219.37.1:8887	无效	0	48
113.219.37.233:8887	无效	0	48
113.219.38.1:8887	无效	0	48
113.219.39.1:8887	无效	0	48
113.219.39.20:8887	无效	0	48
113.219.41.1:8887	无效	0	48
www.andy-nas.top:8623	无效	0	48
113.223.24.49:9000	无效	0	48
113.223.24.7:9000	无效	0	48
113.223.25.111:9000	无效	0	48
113.223.25.76:9000	无效	0	48
113.223.26.192:9000	无效	0	48
113.223.26.206:4022	无效	0	48
113.223.26.30:4200	无效	0	48
113.223.26.30:9000	无效	0	48
113.223.27.156:4200	无效	0	48
113.223.27.159:9000	无效	0	48
113.223.27.232:4022	无效	0	48
113.223.27.55:9000	无效	0	48
118.248.155.1:8889	无效	0	48
118.248.155.66:8889	无效	0	48
118.248.156.1:8889	无效	0	48
118.248.159.1:8889	无效	0	48
118.248.195.161:8889	无效	0	48
118.248.195.189:8889	无效	0	48
118.248.195.1:8889	无效	0	48
118.248.201.132:8889	无效	0	48
118.248.201.1:8889	无效	0	48
118.248.219.131:18888	无效	0	48
118.249.23.179:7000	无效	0	48
118.249.231.130:8888	无效	0	48
118.250.109.168:999	无效	0	48
118.250.36.11:8888	无效	0	48
118.250.37.157:8888	无效	0	48
118.251.16.1:8188	无效	0	48
118.251.16.206:8188	无效	0	48
118.251.17.185:82	无效	0	48
118.251.17.1:8188	无效	0	48
118.251.17.218:82	无效	0	48
118.251.18.138:8188	无效	0	48
118.251.18.146:8188	无效	0	48
118.251.18.165:82	无效	0	48
118.251.18.192:82	无效	0	48
118.251.18.1:8188	无效	0	48
118.251.18.208:8188	无效	0	48
118.251.18.81:8188	无效	0	48
118.251.19.14:82	无效	0	48
118.251.19.1:8188	无效	0	48
118.251.62.196:8888	无效	0	48
118.251.62.91:8888	无效	0	48
118.251.63.11:8888	无效	0	48
118.251.96.1:8188	无效	0	48
118.251.96.200:8188	无效	0	48
118.251.97.130:82	无效	0	48
118.251.97.1:8188	无效	0	48
118.251.97.203:8888	无效	0	48
118.251.97.221:8888	无效	0	48
118.251.98.1:8188	无效	0	48
118.251.98.20:8188	无效	0	48
118.254.158.55:8888	无效	0	48
175.0.102.162:8888	无效	0	48
175.0.102.177:8888	无效	0	48
175.0.104.143:8888	无效	0	48
175.0.110.75:8888	无效	0	48
175.0.237.69:8888	无效	0	48
175.0.64.151:8989	无效	0	48
175.0.64.151:9999	无效	0	48
175.0.64.201:7000	无效	0	48
175.0.64.202:9999	无效	0	48
175.0.64.9:9999	无效	0	48
175.0.65.210:8989	无效	0	48
175.0.65.234:8888	无效	0	48
175.0.65.247:8188	无效	0	48
175.0.67.185:9999	无效	0	48
175.0.68.171:4000	无效	0	48
175.0.68.246:4022	无效	0	48
175.0.69.132:9999	无效	0	48
175.0.69.136:8888	无效	0	48
175.0.69.211:8989	无效	0	48
175.0.69.64:8888	无效	0	48
175.0.71.120:9999	无效	0	48
175.0.71.13:8989	无效	0	48
175.0.71.13:9999	无效	0	48
175.0.71.6:8888	无效	0	48
175.0.71.8:4022	无效	0	48
175.0.73.141:7000	无效	0	48
175.0.73.160:4022	无效	0	48
175.0.73.68:8888	无效	0	48
175.0.74.138:20000	无效	0	48
175.0.74.226:7000	无效	0	48
175.0.74.235:7000	无效	0	48
175.0.75.25:7000	无效	0	48
175.0.75.48:7000	无效	0	48
175.0.78.143:8888	无效	0	48
175.0.78.181:7000	无效	0	48
175.10.10.150:5555	无效	0	48
175.10.11.12:5555	无效	0	48
175.10.11.88:5555	无效	0	48
175.10.19.147:1688	无效	0	48
175.10.199.108:8888	无效	0	48
175.10.41.161:8888	无效	0	48
175.10.44.1:8177	无效	0	48
175.10.45.1:8177	无效	0	48
175.10.45.94:8177	无效	0	48
175.10.46.1:8177	无效	0	48
175.10.47.1:8177	无效	0	48
175.10.72.197:20000	无效	0	48
175.10.75.145:20000	无效	0	48
175.10.8.17:5555	无效	0	48
175.10.8.41:5555	无效	0	48
175.10.8.8:5555	无效	0	48
175.10.9.197:5555	无效	0	48
175.11.132.47:4022	无效	0	48
175.11.135.96:4022	无效	0	48
175.11.171.151:4022	无效	0	48
175.15.56.11:4022	无效	0	48
175.15.56.1:4022	无效	0	48
175.15.57.1:4022	无效	0	48
175.15.58.1:4022	无效	0	48
175.15.59.1:4022	无效	0	48
175.8.128.109:4000	无效	0	48
175.8.128.1:4000	无效	0	48
175.8.128.80:4000	无效	0	48
175.8.129.116:4000	无效	0	48
175.8.129.137:4000	无效	0	48
175.8.129.149:4000	无效	0	48
175.8.129.175:4000	无效	0	48
175.8.129.1:4000	无效	0	48
175.8.130.159:4000	无效	0	48
175.8.130.1:4000	无效	0	48
175.8.131.1:4000	无效	0	48
175.8.180.108:7878	无效	0	48
175.8.180.1:7878	无效	0	48
175.8.180.255:7878	无效	0	48
175.8.180.60:7878	无效	0	48
175.8.180.87:7878	无效	0	48
175.8.181.1:7878	无效	0	48
175.8.182.132:7878	无效	0	48
175.8.182.1:7878	无效	0	48
175.8.182.22:7878	无效	0	48
175.8.183.1:7878	无效	0	48
175.9.184.194:5555	无效	0	48
175.9.184.78:5555	无效	0	48
175.9.185.172:5555	无效	0	48
175.9.187.45:5555	无效	0	48
175.9.189.53:5555	无效	0	48
175.9.191.10:5555	无效	0	48
175.9.191.161:5555	无效	0	48
175.9.191.78:5555	无效	0	48
175.9.33.147:8888	无效	0	48
218.76.165.27:9999	无效	0	48
220.169.100.1:10087	无效	0	48
220.169.100.41:10087	无效	0	48
220.169.109.1:802	无效	0	48
220.169.109.72:802	无效	0	48
220.169.109.76:802	无效	0	48
220.169.111.11:10087	无效	0	48
220.169.111.157:10087	无效	0	48
222.241.133.3:8888	无效	0	48
222.241.145.142:4000	无效	0	48
222.241.145.152:4000	无效	0	48
222.241.145.194:4000	无效	0	48
222.241.176.119:8888	无效	0	48
222.241.176.1:8888	无效	0	48
222.241.204.1:8888	无效	0	48
222.241.204.210:8888	无效	0	48
222.241.223.27:8888	无效	0	48
222.245.57.1:4022	无效	0	48
223.145.224.114:8000	无效	0	48
223.145.224.183:8000	无效	0	48
223.145.224.208:8000	无效	0	48
223.156.138.1:4022	无效	0	48
223.156.149.91:8999	无效	0	48
223.156.151.1:4022	无效	0	48
58.46.160.184:4023	无效	0	48
58.46.176.1:4022	无效	0	48
58.46.177.161:4022	无效	0	48
58.46.178.142:4022	无效	0	48
58.46.178.1:4022	无效	0	48
58.46.179.1:4022	无效	0	48
58.46.179.245:4022	无效	0	48
58.46.180.11:4022	无效	0	48
58.46.180.1:4022	无效	0	48
58.46.181.1:4022	无效	0	48
58.46.183.194:4022	无效	0	48
58.46.183.1:4022	无效	0	48
58.46.200.1:4022	无效	0	48
www.zlizi.cn:4023	无效	0	48
58.46.202.137:4023	无效	0	48
58.46.202.1:4022	无效	0	48
58.46.203.1:4022	无效	0	48
58.46.208.105:4022	无效	0	48
58.46.208.1:4022	无效	0	48
58.46.210.1:4022	无效	0	48
58.46.210.223:4022	无效	0	48
58.46.28.163:8188	无效	0	48
58.46.28.175:8188	无效	0	48
58.46.28.1:4022	无效	0	48
58.46.28.1:8188	无效	0	48
58.46.28.38:8188	无效	0	48
58.46.29.164:8188	无效	0	48
58.46.29.18:8188	无效	0	48
58.46.29.1:4022	无效	0	48
58.46.29.1:8188	无效	0	48
58.46.29.246:8188	无效	0	48
58.46.29.64:8188	无效	0	48
58.46.29.74:8188	无效	0	48
58.46.29.85:8188	无效	0	48
58.46.30.114:8188	无效	0	48
58.46.30.126:8188	无效	0	48
58.46.30.130:8188	无效	0	48
58.46.30.1:8188	无效	0	48
58.46.30.221:8188	无效	0	48
58.46.30.228:8188	无效	0	48
58.46.30.255:8188	无效	0	48
58.46.30.44:8188	无效	0	48
58.46.30.59:8188	无效	0	48
58.46.30.61:8188	无效	0	48
58.46.30.99:8188	无效	0	48
58.46.31.137:8188	无效	0	48
58.46.31.149:8188	无效	0	48
58.46.31.16:8188	无效	0	48
58.46.31.1:4022	无效	0	48
58.46.31.1:8188	无效	0	48
58.46.31.26:8188	无效	0	48
58.46.31.43:8188	无效	0	48
58.46.68.177:8188	无效	0	48
58.46.68.1:8188	无效	0	48
58.46.68.227:8188	无效	0	48
58.46.68.5:8188	无效	0	48
58.46.69.143:8188	无效	0	48
58.46.69.1:8188	无效	0	48
58.46.69.218:8188	无效	0	48
58.46.69.57:8188	无效	0	48
58.46.70.1:8188	无效	0	48
58.46.71.1:8188	无效	0	48
58.46.71.252:8188	无效	0	48
58.46.71.79:8188	无效	0	48
58.46.78.1:8188	无效	0	48
59.51.36.120:8888	无效	0	48
61.187.148.168:4022	无效	0	48
61.187.186.29:4000	无效	0	48
﻿# 2026/05/20 10:28	无效	0	48
113.221.58.139:8623	无效	0	43
