# 20260710_0129_precise_history
# 服务器地址	状态	测试有效次数	测试无效次数
woc.iiiya.cn:18888	有效	273	3
remote.jackye.site:8000	有效	273	3
1.203.76.50:8899	无效	0	276
106.122.207.9:8888	无效	0	276
110.80.172.185:8000	无效	0	276
110.81.122.66:8000	无效	0	276
110.84.214.1:1000	无效	0	276
111.25.62.106:9898	无效	0	276
111.25.62.108:9898	无效	0	276
111.25.63.40:9898	无效	0	276
114.226.2.145:4022	无效	0	276
114.226.212.175:8787	无效	0	276
114.226.212.177:8787	无效	0	276
114.226.212.178:8787	无效	0	276
114.238.59.84:4000	无效	0	276
115.171.216.58:4000	无效	0	276
115.171.216.84:4000	无效	0	276
115.171.80.79:1688	无效	0	276
116.116.118.131:9999	无效	0	276
117.28.1.1:4022	无效	0	276
117.28.116.1:8888	无效	0	276
117.28.128.1:8888	无效	0	276
117.28.167.36:8888	无效	0	276
117.28.98.1:18888	无效	0	276
117.28.98.245:18888	无效	0	276
117.28.99.117:18888	无效	0	276
117.28.99.1:18888	无效	0	276
117.28.99.58:18888	无效	0	276
117.28.99.76:18888	无效	0	276
117.30.58.100:18888	无效	0	276
117.30.58.160:18888	无效	0	276
117.30.58.1:18888	无效	0	276
117.30.58.241:18888	无效	0	276
117.30.58.95:18888	无效	0	276
117.30.58.98:18888	无效	0	276
117.30.59.1:18888	无效	0	276
120.33.184.149:4022	无效	0	276
120.33.184.1:4022	无效	0	276
120.33.184.209:4022	无效	0	276
120.33.45.85:8000	无效	0	276
120.33.45.98:8000	无效	0	276
120.40.56.1:1000	无效	0	276
120.40.57.1:1000	无效	0	276
120.40.58.1:1000	无效	0	276
120.40.59.13:1000	无效	0	276
120.40.59.1:1000	无效	0	276
120.40.59.95:1000	无效	0	276
120.40.60.1:1000	无效	0	276
120.40.61.1:1000	无效	0	276
120.40.62.104:1000	无效	0	276
120.40.62.1:1000	无效	0	276
120.40.63.1:1000	无效	0	276
120.41.127.213:18888	无效	0	276
121.204.91.165:8000	无效	0	276
121.205.53.1:4022	无效	0	276
121.207.53.1:4022	无效	0	276
121.207.54.1:4022	无效	0	276
121.226.125.152:7777	无效	0	276
121.226.125.245:7777	无效	0	276
121.237.244.160:8888	无效	0	276
121.237.245.109:8888	无效	0	276
121.237.245.136:8888	无效	0	276
124.72.80.211:4000	无效	0	276
125.66.96.41:8888	无效	0	276
171.213.158.197:8888	无效	0	276
171.213.167.9:8888	无效	0	276
171.213.174.152:5022	无效	0	276
175.43.106.109:4022	无效	0	276
182.131.207.245:8888	无效	0	276
218.5.56.161:18888	无效	0	276
220.250.10.83:8848	无效	0	276
222.214.191.177:8888	无效	0	276
27.152.10.1:4022	无效	0	276
27.152.145.1:8888	无效	0	276
27.152.145.8:8888	无效	0	276
27.154.101.1:18888	无效	0	276
27.154.140.1:3386	无效	0	276
27.154.214.1:18888	无效	0	276
27.154.214.215:18888	无效	0	276
27.154.215.57:18888	无效	0	276
27.154.215.63:18888	无效	0	276
27.154.89.1:18888	无效	0	276
27.154.96.184:3386	无效	0	276
27.154.96.1:3386	无效	0	276
27.154.97.1:3386	无效	0	276
27.154.97.208:3386	无效	0	276
27.154.99.1:3386	无效	0	276
27.154.99.234:3386	无效	0	276
27.155.54.10:4002	无效	0	276
27.155.54.1:4002	无效	0	276
27.155.54.223:4002	无效	0	276
27.155.54.32:4002	无效	0	276
27.158.244.1:9527	无效	0	276
49.77.211.142:8554	无效	0	276
59.56.213.1:8000	无效	0	276
59.57.162.80:18888	无效	0	276
59.57.238.225:8888	无效	0	276
59.60.84.33:8686	无效	0	276
59.61.208.1:4022	无效	0	276
59.61.208.25:4022	无效	0	276
59.61.209.1:4022	无效	0	276
59.61.210.1:4022	无效	0	276
59.61.211.1:4022	无效	0	276
59.61.211.240:4022	无效	0	276
﻿# 2026/05/20 10:28	无效	0	276
59.57.162.95:18888	无效	0	271
222.79.192.112:8000	无效	0	261
