# 20260527_1821_precise_history
# 服务器地址	状态	测试有效次数	测试无效次数
122.9.151.210:887	有效	39	1
1.49.246.56:1024	无效	0	40
1.49.246.83:1024	无效	0	40
106.43.101.187:8880	无效	0	40
106.43.102.92:8880	无效	0	40
106.43.103.188:8880	无效	0	40
111.122.69.223:4000	无效	0	40
111.123.103.1:8881	无效	0	40
111.123.103.4:8881	无效	0	40
111.123.104.1:8881	无效	0	40
111.123.106.1:8881	无效	0	40
111.123.109.1:8881	无效	0	40
111.123.114.1:8881	无效	0	40
111.123.114.239:8881	无效	0	40
111.123.116.115:8881	无效	0	40
111.123.116.1:8881	无效	0	40
111.123.117.1:8881	无效	0	40
111.123.117.247:8881	无效	0	40
111.123.120.1:8881	无效	0	40
111.123.121.1:8881	无效	0	40
111.123.123.1:8881	无效	0	40
119.1.245.142:1024	无效	0	40
119.1.245.91:1024	无效	0	40
119.1.246.6:1024	无效	0	40
218.86.184.121:4022	无效	0	40
218.86.184.185:4022	无效	0	40
218.86.184.18:8188	无效	0	40
218.86.184.1:4022	无效	0	40
218.86.184.1:8188	无效	0	40
218.86.185.102:4022	无效	0	40
218.86.185.14:4022	无效	0	40
218.86.185.154:4022	无效	0	40
218.86.185.181:4022	无效	0	40
218.86.185.1:4022	无效	0	40
218.86.185.1:8188	无效	0	40
218.86.185.207:8188	无效	0	40
218.86.185.213:4022	无效	0	40
218.86.185.239:8188	无效	0	40
218.86.185.93:8188	无效	0	40
218.86.186.126:4022	无效	0	40
218.86.186.129:8188	无效	0	40
218.86.186.157:4022	无效	0	40
218.86.186.157:8188	无效	0	40
218.86.186.1:18000	无效	0	40
218.86.186.1:4022	无效	0	40
218.86.186.1:8188	无效	0	40
218.86.186.215:4022	无效	0	40
218.86.186.244:8188	无效	0	40
218.86.186.70:8188	无效	0	40
218.86.187.106:8188	无效	0	40
218.86.187.175:8188	无效	0	40
218.86.187.1:18000	无效	0	40
218.86.187.1:4022	无效	0	40
218.86.187.1:8188	无效	0	40
218.86.187.200:8188	无效	0	40
218.86.187.203:8188	无效	0	40
218.86.187.226:8188	无效	0	40
218.86.187.22:8188	无效	0	40
218.86.187.230:8188	无效	0	40
218.86.187.236:4022	无效	0	40
218.86.187.45:4022	无效	0	40
218.86.187.98:18000	无效	0	40
219.141.44.1:8188	无效	0	40
219.141.44.227:8188	无效	0	40
219.141.44.235:8188	无效	0	40
219.141.44.238:8188	无效	0	40
219.141.44.245:8188	无效	0	40
219.141.44.246:8188	无效	0	40
219.141.45.104:8188	无效	0	40
219.141.45.124:8188	无效	0	40
219.141.45.161:8188	无效	0	40
219.141.45.1:8188	无效	0	40
219.141.45.238:8188	无效	0	40
219.141.45.246:8188	无效	0	40
219.141.45.60:8188	无效	0	40
219.141.45.64:8188	无效	0	40
219.141.46.188:8188	无效	0	40
219.141.46.1:8188	无效	0	40
220.172.21.189:4022	无效	0	40
220.172.21.89:4022	无效	0	40
220.172.23.15:4022	无效	0	40
220.172.47.247:5146	无效	0	40
61.159.134.134:18000	无效	0	40
61.159.134.144:18000	无效	0	40
61.159.134.150:4022	无效	0	40
61.159.134.151:4022	无效	0	40
61.159.134.160:4022	无效	0	40
61.159.134.161:4022	无效	0	40
61.159.134.183:4022	无效	0	40
61.159.134.189:18000	无效	0	40
61.159.134.1:18000	无效	0	40
61.159.134.1:4022	无效	0	40
61.159.134.201:4022	无效	0	40
61.159.134.210:4022	无效	0	40
61.159.134.229:4022	无效	0	40
61.159.134.235:4022	无效	0	40
61.159.134.236:4022	无效	0	40
61.159.134.241:369	无效	0	40
61.159.134.243:18000	无效	0	40
61.159.134.246:4022	无效	0	40
61.159.134.27:4022	无效	0	40
61.159.134.2:4022	无效	0	40
61.159.134.38:4022	无效	0	40
61.159.134.56:4022	无效	0	40
61.159.134.60:18000	无效	0	40
61.159.134.75:4022	无效	0	40
61.159.135.108:18000	无效	0	40
61.159.135.121:4022	无效	0	40
61.159.135.131:4022	无效	0	40
61.159.135.139:4022	无效	0	40
61.159.135.144:4022	无效	0	40
61.159.135.153:18000	无效	0	40
61.159.135.159:4022	无效	0	40
61.159.135.15:18000	无效	0	40
61.159.135.165:4022	无效	0	40
61.159.135.1:18000	无效	0	40
61.159.135.1:4022	无效	0	40
61.159.135.206:4022	无效	0	40
61.159.135.208:4022	无效	0	40
61.159.135.211:18000	无效	0	40
61.159.135.247:4022	无效	0	40
61.159.135.253:4022	无效	0	40
61.159.135.29:4022	无效	0	40
61.159.135.37:4022	无效	0	40
61.159.135.62:4022	无效	0	40
61.159.135.71:369	无效	0	40
61.159.135.80:4022	无效	0	40
﻿# 2026/05/20 10:28	无效	0	40
