# 20260619_1441_precise_history
# 服务器地址	状态	测试有效次数	测试无效次数
58.17.134.3:8002	有效	146	14
112.192.72.7:8484	无效	0	160
112.192.73.191:8484	无效	0	160
112.192.73.205:8484	无效	0	160
113.58.11.8:8188	无效	0	160
116.168.150.75:4022	无效	0	160
116.168.151.197:4022	无效	0	160
116.168.39.205:10000	无效	0	160
116.168.85.66:10000	无效	0	160
117.174.25.254:8188	无效	0	160
123.144.11.1:8888	无效	0	160
123.144.229.1:11111	无效	0	160
123.145.0.1:8001	无效	0	160
123.145.0.1:8005	无效	0	160
123.145.1.1:8001	无效	0	160
123.145.1.1:8005	无效	0	160
123.145.10.1:8001	无效	0	160
123.145.10.1:8005	无效	0	160
123.145.11.1:8001	无效	0	160
123.145.11.1:8005	无效	0	160
123.145.12.125:8001	无效	0	160
123.145.12.1:8001	无效	0	160
123.145.12.1:8005	无效	0	160
123.145.12.229:8001	无效	0	160
123.145.12.229:8005	无效	0	160
123.145.12.247:8001	无效	0	160
123.145.13.162:8005	无效	0	160
123.145.13.1:8001	无效	0	160
123.145.13.1:8005	无效	0	160
123.145.13.70:8001	无效	0	160
123.145.13.70:8005	无效	0	160
123.145.13.93:8001	无效	0	160
123.145.13.93:8005	无效	0	160
123.145.14.1:8001	无效	0	160
123.145.14.1:8005	无效	0	160
123.145.15.1:8001	无效	0	160
123.145.15.1:8005	无效	0	160
123.145.16.110:8001	无效	0	160
123.145.16.1:8001	无效	0	160
123.145.16.1:8005	无效	0	160
123.145.17.1:8001	无效	0	160
123.145.17.1:8005	无效	0	160
123.145.18.1:8001	无效	0	160
123.145.18.1:8005	无效	0	160
123.145.19.150:8001	无效	0	160
123.145.19.150:8005	无效	0	160
123.145.19.171:8002	无效	0	160
123.145.19.1:8001	无效	0	160
123.145.19.1:8005	无效	0	160
123.145.2.1:8001	无效	0	160
123.145.2.1:8005	无效	0	160
123.145.20.1:8001	无效	0	160
123.145.20.1:8005	无效	0	160
123.145.20.203:8001	无效	0	160
123.145.20.203:8005	无效	0	160
123.145.203.176:8888	无效	0	160
123.145.21.1:8001	无效	0	160
123.145.21.1:8005	无效	0	160
123.145.21.227:8001	无效	0	160
123.145.21.227:8005	无效	0	160
123.145.22.126:8001	无效	0	160
123.145.22.1:8001	无效	0	160
123.145.22.1:8005	无效	0	160
123.145.23.1:8001	无效	0	160
123.145.23.1:8005	无效	0	160
123.145.23.22:8001	无效	0	160
123.145.24.113:8001	无效	0	160
123.145.24.1:8001	无效	0	160
123.145.24.1:8005	无效	0	160
123.145.25.1:8001	无效	0	160
123.145.25.1:8005	无效	0	160
123.145.25.251:8001	无效	0	160
123.145.25.251:8005	无效	0	160
123.145.26.1:8001	无效	0	160
123.145.26.1:8005	无效	0	160
123.145.27.1:8001	无效	0	160
123.145.27.1:8005	无效	0	160
123.145.28.1:8001	无效	0	160
123.145.28.1:8005	无效	0	160
123.145.28.95:8001	无效	0	160
123.145.28.95:8005	无效	0	160
123.145.29.1:8001	无效	0	160
123.145.29.1:8005	无效	0	160
123.145.29.66:8001	无效	0	160
123.145.3.1:8001	无效	0	160
123.145.3.1:8005	无效	0	160
123.145.3.235:8001	无效	0	160
123.145.3.235:8005	无效	0	160
123.145.30.1:8001	无效	0	160
123.145.30.1:8005	无效	0	160
123.145.31.1:8001	无效	0	160
123.145.31.1:8005	无效	0	160
123.145.31.4:8002	无效	0	160
123.145.32.167:8001	无效	0	160
123.145.32.167:8005	无效	0	160
123.145.32.1:8001	无效	0	160
123.145.32.1:8005	无效	0	160
123.145.32.64:8001	无效	0	160
123.145.32.64:8005	无效	0	160
123.145.33.1:8001	无效	0	160
123.145.33.1:8005	无效	0	160
123.145.34.1:8001	无效	0	160
123.145.34.1:8005	无效	0	160
123.145.35.149:8001	无效	0	160
123.145.35.149:8005	无效	0	160
123.145.35.1:8001	无效	0	160
123.145.35.1:8005	无效	0	160
123.145.35.225:8001	无效	0	160
123.145.35.225:8005	无效	0	160
123.145.36.1:8001	无效	0	160
123.145.36.1:8005	无效	0	160
123.145.37.1:8001	无效	0	160
123.145.37.1:8005	无效	0	160
123.145.38.1:8001	无效	0	160
123.145.38.1:8005	无效	0	160
123.145.39.1:8001	无效	0	160
123.145.39.1:8005	无效	0	160
123.145.4.1:8001	无效	0	160
123.145.4.1:8005	无效	0	160
123.145.5.1:8001	无效	0	160
123.145.5.1:8005	无效	0	160
123.145.6.144:8001	无效	0	160
123.145.6.154:8001	无效	0	160
123.145.6.1:8001	无效	0	160
123.145.6.1:8005	无效	0	160
123.145.7.1:8001	无效	0	160
123.145.7.1:8005	无效	0	160
123.145.8.1:8001	无效	0	160
123.145.8.1:8005	无效	0	160
123.145.9.124:8001	无效	0	160
123.145.9.124:8005	无效	0	160
123.145.9.1:8001	无效	0	160
123.145.9.1:8005	无效	0	160
123.146.72.101:4022	无效	0	160
123.146.72.1:4022	无效	0	160
123.146.72.20:4022	无效	0	160
124.162.19.1:4022	无效	0	160
124.162.19.248:4022	无效	0	160
124.162.219.1:4022	无效	0	160
124.162.220.1:4022	无效	0	160
