# 20260708_1718_precise_history
# 服务器地址	状态	测试有效次数	测试无效次数
1.190.144.1:4000	无效	0	269
1.190.144.1:4001	无效	0	269
1.190.144.50:4000	无效	0	269
1.190.144.50:4001	无效	0	269
1.58.225.88:8886	无效	0	269
1.58.243.169:4000	无效	0	269
1.58.243.169:4001	无效	0	269
1.58.243.1:4000	无效	0	269
1.58.243.1:4001	无效	0	269
1.58.243.207:4000	无效	0	269
1.58.243.207:4001	无效	0	269
1.58.243.235:4000	无效	0	269
1.58.243.235:4001	无效	0	269
1.58.246.115:4000	无效	0	269
1.58.246.115:4001	无效	0	269
1.58.246.118:4000	无效	0	269
1.58.246.118:4001	无效	0	269
1.58.246.150:4000	无效	0	269
1.58.246.150:4001	无效	0	269
1.58.246.199:4000	无效	0	269
1.58.246.199:4001	无效	0	269
1.58.246.1:4000	无效	0	269
1.58.246.1:4001	无效	0	269
1.58.246.23:4001	无效	0	269
1.58.246.240:4000	无效	0	269
1.58.246.240:4001	无效	0	269
1.58.246.252:4001	无效	0	269
1.58.247.1:4001	无效	0	269
1.58.65.129:4000	无效	0	269
1.58.65.155:4000	无效	0	269
1.58.65.1:4000	无效	0	269
1.58.66.1:4000	无效	0	269
1.58.66.249:4000	无效	0	269
1.58.66.5:4000	无效	0	269
1.62.113.137:4001	无效	0	269
1.62.130.1:4001	无效	0	269
113.7.72.166:4022	无效	0	269
113.7.72.1:4022	无效	0	269
113.7.74.178:4022	无效	0	269
113.7.74.1:4022	无效	0	269
113.7.77.141:4022	无效	0	269
125.211.115.161:4000	无效	0	269
125.211.115.1:4000	无效	0	269
125.211.120.1:4000	无效	0	269
125.211.120.48:4000	无效	0	269
218.8.87.1:4000	无效	0	269
218.8.87.96:4000	无效	0	269
1.58.254.230:4001	有效	17	192
1.62.130.157:4001	有效	5	95
