2026/05/15 20:19精选更新,#genre#
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
上海电信-组播1,116.237.68.208:4022(快速),#genre#
上海教育,http://116.237.68.208:4022/rtp/239.45.0.13:5140
上海教育HD,http://116.237.68.208:4022/rtp/233.18.204.63:5140
上海都市HD,http://116.237.68.208:4022/rtp/233.18.204.53:5140

CCTV1,http://116.237.68.208:4022/rtp/239.45.3.145:5140
CCTV1,http://116.237.68.208:4022/rtp/233.18.204.168:5140
CCTV1,http://116.237.68.208:4022/rtp/233.18.204.52:5140
CCTV2,http://116.237.68.208:4022/rtp/239.45.3.208:5140
CCTV2,http://116.237.68.208:4022/rtp/233.18.204.68:5140
CCTV3,http://116.237.68.208:4022/rtp/239.45.1.68:5140
CCTV3,http://116.237.68.208:4022/rtp/233.18.204.69:5140
CCTV4,http://116.237.68.208:4022/rtp/239.45.0.2:5140
CCTV4,http://116.237.68.208:4022/rtp/233.18.204.70:5140
CCTV5,http://116.237.68.208:4022/rtp/239.45.1.69:5140
CCTV5,http://116.237.68.208:4022/rtp/233.18.204.72:5140
CCTV5,http://116.237.68.208:4022/rtp/233.18.204.71:5140
CCTV5+,http://116.237.68.208:4022/rtp/233.18.204.67:5140
CCTV6,http://116.237.68.208:4022/rtp/239.45.1.70:5140
CCTV7,http://116.237.68.208:4022/rtp/239.45.3.56:5140
CCTV7,http://116.237.68.208:4022/rtp/233.18.204.73:5140
CCTV8,http://116.237.68.208:4022/rtp/239.45.1.71:5140
CCTV8,http://116.237.68.208:4022/rtp/233.18.204.74:5140
CCTV9,http://116.237.68.208:4022/rtp/239.45.3.4:5140
CCTV9,http://116.237.68.208:4022/rtp/233.18.204.75:5140
CCTV10,http://116.237.68.208:4022/rtp/239.45.3.8:5140
CCTV10,http://116.237.68.208:4022/rtp/233.18.204.76:5140
CCTV11,http://116.237.68.208:4022/rtp/239.45.1.196:5140
CCTV11,http://116.237.68.208:4022/rtp/233.18.204.77:5140
CCTV12,http://116.237.68.208:4022/rtp/239.45.3.10:5140
CCTV12,http://116.237.68.208:4022/rtp/233.18.204.78:5140
CCTV13,http://116.237.68.208:4022/rtp/239.45.1.198:5140
CCTV13,http://116.237.68.208:4022/rtp/233.18.204.79:5140
CCTV14,http://116.237.68.208:4022/rtp/239.45.3.23:5140
CCTV14,http://116.237.68.208:4022/rtp/233.18.204.80:5140
CCTV15,http://116.237.68.208:4022/rtp/239.45.1.200:5140
CCTV15,http://116.237.68.208:4022/rtp/233.18.204.81:5140
CCTV16,http://116.237.68.208:4022/rtp/233.18.204.82:5140
CCTV17,http://116.237.68.208:4022/rtp/239.45.3.52:5140
CCTV17,http://116.237.68.208:4022/rtp/233.18.204.83:5140
CCTV4KSDR,http://116.237.68.208:4022/rtp/233.18.204.188:5140
CHC动作电影,http://116.237.68.208:4022/rtp/239.45.0.41:5140
CHC动作电影,http://116.237.68.208:4022/rtp/233.18.204.174:5140
CHC家庭影院,http://116.237.68.208:4022/rtp/239.45.0.40:5140
CHC家庭影院,http://116.237.68.208:4022/rtp/233.18.204.173:5140
风云音乐,http://116.237.68.208:4022/rtp/233.18.204.185:5140
世界地理,http://116.237.68.208:4022/rtp/233.18.204.179:5140
第一剧场,http://116.237.68.208:4022/rtp/233.18.204.184:5140
风云剧场,http://116.237.68.208:4022/rtp/233.18.204.183:5140
央视精品,http://116.237.68.208:4022/rtp/233.18.204.186:5140
兵器科技,http://116.237.68.208:4022/rtp/233.18.204.178:5140
