#20260512_215600_sorted
央视频道,#genre#
卫视频道,#genre#
数字频道,#genre#
电影频道,#genre#
教育频道,#genre#
华东地区,#genre#
华北地区,#genre#
华中地区,#genre#
其他频道,#genre#
河南卫视,http://ipipip/rtp/225.1.4.254:1300
河南卫视,http://ipipip/rtp/225.1.4.98:1127
河南乡村,http://ipipip/rtp/225.1.4.120:1149
河南公共,http://ipipip/rtp/225.1.4.58:1087
河南新闻,http://ipipip/rtp/225.1.4.56:1085
河南民生,http://ipipip/rtp/225.1.4.53:1082
河南法治,http://ipipip/rtp/225.1.4.54:1083
河南电视剧,http://ipipip/rtp/225.1.4.55:1084
河南购物,http://ipipip/rtp/225.1.4.57:1086
河南都市,http://ipipip/rtp/225.1.4.52:1081
CCTV1,http://ipipip/rtp/225.1.4.73:1102
CCTV2,http://ipipip/rtp/225.1.4.74:1103
CCTV4,http://ipipip/rtp/225.1.5.30:1333
CCTV4欧洲,http://ipipip/rtp/225.1.5.31:1342
CCTV4美洲,http://ipipip/rtp/225.1.5.32:1343
CCTV5,http://ipipip/rtp/225.1.4.159:1195
CCTV5+,http://ipipip/rtp/225.1.4.75:1104
CCTV6,http://ipipip/rtp/225.1.4.160:1196
CCTV7,http://ipipip/rtp/225.1.4.76:1105
CCTV8,http://ipipip/rtp/225.1.4.161:1197
CCTV9,http://ipipip/rtp/225.1.4.77:1106
CCTV10,http://ipipip/rtp/225.1.4.78:1107
CCTV11,http://ipipip/rtp/225.1.4.215:1268
CCTV12,http://ipipip/rtp/225.1.4.79:1108
CCTV13,http://ipipip/rtp/225.1.4.113:1293
CCTV14,http://ipipip/rtp/225.1.4.80:1109
CCTV15,http://ipipip/rtp/225.1.4.216:1269
CCTV17,http://ipipip/rtp/225.1.4.226:2506
CCTV世界地理,http://ipipip/rtp/225.1.4.183:1232
CCTV高网频道,http://ipipip/rtp/225.1.4.180:1229
CGTN,http://ipipip/rtp/225.1.4.16:1045
CGTN,http://ipipip/rtp/225.1.5.34:1344
